科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"84,316,440.32","159,458,716.51","173,356,339.46","167,590,179.01","172,006,722.40","173,716,256.59","169,614,386.14","234,286,353.82","198,792,648.71","185,342,250.48","138,848,712.57","106,361,178.83","127,467,647.97","116,503,986.91","164,856,887.98","126,106,209.12","264,571,984.14","184,919,431.40","241,596,569.25","283,779,713.23","169,686,225.75","99,852,140.31","43,525,437.34","358,707,949.13","213,758,157.06","239,679,486.19","238,870,468.73","267,154,693.62","225,340,024.37","217,066,460.84"
短期借款,,,,,"18,000,000.00",,,"50,000,000.00","38,000,000.00",,"37,000,000.00","40,000,000.00","75,000,000.00","91,000,000.00","165,000,000.00","92,000,000.00","139,000,000.00","85,000,000.00","266,614,205.84","509,463,812.55","392,024,046.99","412,470,904.19","270,702,969.46","574,849,115.80","450,413,095.12","654,523,771.94","623,654,656.32","656,002,317.88","425,855,046.53","482,448,518.73"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"6,224,190.48",,"13,524,664.13","9,538,788.73","23,344,142.02","12,016,108.72","11,306,348.80","9,654,924.25","33,790,631.11","54,098,889.28","81,581,349.27","78,677,305.91","68,192,714.26","55,707,984.05","41,573,894.45","120,549,056.21","118,373,145.60","61,627,765.10","168,277,642.21","43,125,700.93","51,883,578.07","53,063,209.32","40,408,088.71","25,129,311.60","65,334,015.04","75,712,212.96","78,586,547.53","161,126,936.24","155,986,205.18","166,133,781.96"
应付票据,"160,000,000.00","305,100,000.00","345,800,000.00","344,000,000.00","251,970,968.30","60,500,000.00","66,600,000.00","108,000,000.00","67,000,000.00","83,500,000.00","134,020,000.00","96,000,000.00","79,130,710.00","60,700,200.00","134,135,300.00","277,685,200.00","204,635,200.00","425,800,000.00","545,550,000.00","307,245,000.00","407,956,072.51","439,741,072.51","293,910,000.00","280,349,929.20","323,429,929.20","514,240,255.00","500,930,255.00","566,237,700.00","639,342,174.20","663,049,299.18"
应收账款,"1,340,454.38","4,750,644.37","12,459,350.63","32,379,968.68","21,933,646.30","-221,551.98","60,955,934.89","37,132,124.65","31,732,353.48","35,710,822.16","39,458,391.31","45,165,793.34","57,638,592.78","83,180,361.38","87,675,718.71","71,479,751.96","63,791,346.02","106,078,972.95","265,849,952.91","112,520,078.74","98,887,669.40","160,524,336.67","118,139,774.28","91,308,879.77","147,841,121.70","158,461,383.33","138,181,261.23","245,294,676.98","126,417,812.49","253,294,168.71"
应付账款,"66,255,143.94","3,891,711.74","15,901,199.19","19,661,842.87","3,809,991.87","8,491,724.20","21,702,920.05","11,813,478.18","9,859,657.45","11,023,852.21","8,751,615.93","14,577,515.05","12,901,900.46","12,549,886.40","17,312,649.00","20,195,126.10","33,403,663.02","30,304,150.93","235,873,443.95","25,808,056.89","73,284,834.23","52,823,585.65","115,715,623.32","103,364,540.39","91,661,848.56","229,579,309.34","268,570,803.49","357,534,925.36","136,483,251.99","303,106,649.26"
预付款项,"9,016,331.56","16,588,454.17","133,495,529.93","115,952,271.45","75,222,985.20","94,865,198.72","104,250,058.79","153,363,279.59","129,218,502.42","94,836,834.37","156,908,156.37","160,068,301.61","145,231,291.01","194,992,662.61","308,632,685.52","268,460,936.03","139,854,990.21","278,941,640.07","286,791,524.83","293,425,648.12","439,279,654.05","515,696,539.66","393,767,197.63","201,541,038.84","342,612,357.03","324,888,219.35","349,390,690.32","358,043,500.39","277,132,553.41","382,921,887.52"
预收款项,"15,803,195.41","21,755,368.48","73,122,202.71","37,712,626.97","23,990,560.32","11,749,145.83","44,244,628.64","50,413,420.60","14,082,856.92","22,270,538.83","29,334,855.64","47,529,501.70","11,973,152.34","57,201,282.16","72,037,838.81","28,577,774.06","24,534,704.35","15,211,957.71","17,073,433.04","55,314,141.05","93,894,427.31","89,143,788.93","58,148,517.89","98,384,118.15","169,227,544.60","110,932,824.21","108,164,451.31","164,751,529.80","57,786,756.20","127,442,100.17"
