科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
现金及存放同业款项,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
短期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
货币资金,"7,212,345,462.00","6,891,999,390.00","12,734,755,223.00","8,979,491,288.00","8,976,932,497.00","13,822,098,731.00","12,725,525,742.00","11,202,091,167.00","10,291,396,598.00","9,800,350,142.00","9,607,381,379.00","9,085,989,691.00","6,887,015,688.00","7,464,468,921.00","6,268,621,430.00","6,301,216,584.00","5,514,455,535.00","6,964,520,159.00","7,304,150,823.00","7,383,504,941.00","9,213,443,785.00","9,880,386,852.00","15,541,673,769.00","26,153,425,730.00","19,538,964,461.00","19,431,524,157.00","17,377,517,320.00","17,660,055,512.00","16,241,435,563.00","13,807,745,064.00","18,010,884,085.00","13,892,489,421.00","13,734,948,279.00"
其中：质押借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其中：客户资金存款,"7,041,423,094.00","4,951,296,899.00","10,477,337,851.00","7,680,921,394.00","7,525,556,593.00","8,780,833,850.00","7,441,885,583.00","6,594,922,149.00","5,850,740,601.00","5,680,733,951.00","5,523,241,624.00","5,012,333,815.00","4,563,304,010.00","5,069,098,904.00","4,711,085,684.00","4,406,551,855.00","3,936,392,362.00","5,603,884,698.00","5,636,583,723.00","5,757,276,583.00","7,053,974,476.00","7,527,550,455.00","12,273,583,673.00","19,232,466,966.00","13,351,759,421.00","9,317,432,401.00","10,563,453,197.00","11,524,740,780.00","9,012,848,002.00","8,703,941,603.00","9,366,226,688.00","9,455,607,695.00","8,565,967,859.00"
拆入资金,,,,,,,,,,,,,,,"100,000,000.00","420,000,000.00","360,000,000.00","490,000,000.00","580,000,000.00","880,000,000.00","1,198,000,000.00","1,845,000,000.00","1,762,000,000.00","1,845,000,000.00","877,000,000.00","1,915,000,000.00","1,964,957,500.00","2,100,000,000.00","3,000,000,000.00","3,000,000,000.00","3,700,000,000.00","4,000,000,000.00","4,395,000,000.00"
存放中央银行款项,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71,747,293.00","1,060,349,667.00","219,821,850.00","1,147,511,970.00","2,101,748,250.00","120,998,660.00"
结算备付金,"2,449,396,073.00","498,797,432.00","883,045,933.00","360,938,510.00","492,756,598.00","1,673,520,722.00","400,011,537.00","311,466,625.00","386,303,948.00","609,624,519.00","401,100,294.00","290,204,653.00","337,715,650.00","396,084,349.00","515,559,547.00","481,984,915.00","590,961,977.00","556,280,882.00","671,748,396.00","751,177,485.00","1,096,589,230.00","3,403,263,036.00","3,485,159,206.00","3,548,429,250.00","4,184,700,490.00","7,579,827,210.00","3,183,725,730.00","2,989,427,832.00","3,332,764,493.00","3,091,304,646.00","2,271,645,552.00","2,324,054,109.00","2,393,546,737.00"
衍生金融负债,"86,336,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
