科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"578,462,409.86","909,216,291.87","1,057,332,654.82","520,414,756.76","818,218,308.30","1,134,846,540.95","244,792,687.52","611,204,915.32","1,033,135,610.33","1,487,345,254.42","353,810,821.08","802,641,776.34","1,268,874,449.90","1,771,376,578.04","360,556,038.41","835,292,661.15","1,377,197,045.22","1,937,578,711.61","416,895,711.93","874,319,057.78","1,296,928,849.03","1,909,114,520.14","610,170,999.16","1,134,553,734.35","1,824,748,191.14","2,591,965,428.19","498,654,876.10","1,048,656,208.37","1,762,517,373.23","2,754,382,897.09","628,164,439.95","1,373,267,539.77","2,223,800,227.73"
取得子公司及其他营业单位支付的现金净额,"743,947.06",,"200,000.00","200,000.00",,"200,000.00",,"1,266,643.82","1,266,643.82","1,266,643.82","7,028,094.92","24,432,938.47","25,557,938.47","26,083,642.50",,,,"4,000,000.00",,,,,"800,000.00",,"59,807,500.00","92,513,778.87","98,320,000.00","126,647,500.00","188,566,846.93","509,726,338.72",,,
收到的税费返还,,,,,,,"242,955.15",,,"100,706.14",,,,,,,,,,,,,,,,"5,896.78","700,800.00","700,800.00","702,354.06",,"132,630.86",,"945,444.12"
支付其他与投资活动有关的现金,,,,,"1,118,684.40",,"100,000.00",,,"213,850,000.00",,,,"618,869,968.39","190,000,000.00","244,536,768.37","251,616,768.37","297,897,333.66","60,197,075.94","60,000,000.00","82,000,000.00","80,000,000.00","68,000,000.00","40,000,000.00","120,000,000.00","200,000,000.00","20,010,686.00","20,795,737.51","23,385,404.18","134,683,440.00","141,394,930.42","59,306,433.56","60,152,433.56"
收到其他与经营活动有关的现金,"20,817,551.98","7,197,680.09","4,416,695.55","2,012,937.21","11,144,911.62","5,128,732.30","2,151,259.98","4,374,729.90","14,029,265.04","5,976,899.01","9,085,027.21","11,976,020.34","15,846,419.34","8,628,881.73","9,646,289.59","33,369,463.23","141,801,082.69","15,582,248.17","4,321,090.75","4,022,403.26","262,568,533.20","9,505,943.15","7,301,053.09","10,071,186.18","177,025,484.25","26,033,427.77","88,262,465.42","81,157,132.41","123,071,911.07","43,749,650.37","12,386,949.45","28,416,652.25","275,982,015.82"
投资活动现金流出小计,"4,626,936.03","13,895,734.12","48,640,087.09","25,610,054.65","50,371,193.40","60,851,446.50","5,019,629.66","12,946,710.04","38,926,881.89","274,216,262.07","13,385,270.92","267,989,694.00","386,471,429.89","1,104,264,112.44","329,514,398.58","509,684,130.81","534,648,582.34","676,557,496.25","123,055,972.70","235,183,454.34","333,114,836.19","415,552,452.96","92,048,753.16","211,971,698.90","468,422,302.88","575,129,765.61","149,929,660.91","402,247,933.40","550,600,324.98","988,079,219.81","238,723,318.52","212,115,169.71","300,476,260.97"
经营活动现金流入小计,"599,279,961.84","916,413,971.96","1,061,749,350.37","522,427,693.97","829,363,219.92","1,139,975,273.25","247,186,902.65","615,579,645.22","1,047,164,875.37","1,493,422,859.57","362,895,848.29","814,617,796.68","1,284,720,869.24","1,780,005,459.77","370,202,328.00","868,662,124.38","1,518,998,127.91","1,953,160,959.78","421,216,802.68","878,341,461.04","1,559,497,382.23","1,918,620,463.29","617,472,052.25","1,144,624,920.53","2,001,773,675.39","2,618,004,752.74","587,618,141.52","1,130,514,140.78","1,886,291,638.36","2,798,132,547.46","640,684,020.26","1,401,684,192.02","2,500,727,687.67"
投资活动产生的现金流量净额,"5,660,437.55","-13,128,299.87","-48,424,866.09","-25,434,195.65","-48,796,615.20","-60,464,002.50","-4,691,142.66","-12,524,522.04","-38,346,031.89","-264,206,674.40","181,092,896.58","104,987,778.84","52,169,345.68","42,143,192.50","-251,969,387.25","-251,630,635.64","-242,361,696.91","-86,967,577.43","-70,693,147.61","-75,854,134.16","-59,795,985.41","-66,284,557.86","-41,437,931.24","-81,213,641.87","-309,542,864.21","-270,960,220.21","-145,211,931.55","-365,032,487.81","-512,399,551.08","-777,933,612.77","-205,297,545.36","-105,372,758.52","-147,322,834.51"
购买商品、接受劳务支付的现金,"528,573,563.84","747,544,541.06","906,578,563.47","439,847,369.01","679,860,856.79","983,185,298.44","246,992,150.77","536,825,338.85","904,040,495.64","1,275,497,159.96","347,082,813.23","710,255,383.35","1,133,909,470.84","1,538,523,316.48","373,273,713.51","784,555,815.82","1,251,622,883.45","1,758,105,512.42","429,972,827.60","805,423,433.42","1,235,117,406.21","1,715,498,819.35","595,143,184.84","1,153,484,815.67","1,520,838,916.64","2,052,324,074.73","525,353,960.00","1,045,940,278.92","1,559,017,158.69","2,433,044,999.90","393,994,544.84","1,102,617,950.60","1,577,741,409.19"
吸收投资收到的现金,,"22,400,000.00","5,000,000.00",,,,"552,960,000.00","552,960,000.00","552,960,000.00","552,960,000.00",,,,,,,,,,,"5,000,000.00","1,250,000.00","3,000,000.00","9,000,000.00","13,750,000.00","338,657,023.02","4,000,000.00","703,860.00","149,203,860.00","39,317,000.00",,"7,700,000.00","17,725,000.00"
