科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"5,074,268.50","6,593,037.41","8,276,806.83","10,258,168.12","172,117,767.51","129,848,658.92","113,601,100.17","90,300,604.40","68,606,466.35","122,941,484.62","121,779,616.84","120,988,006.73","117,171,006.90","102,421,424.48","91,723,197.01","71,187,999.58","60,760,926.34","51,359,173.37","50,286,195.65","47,033,776.69","47,841,117.99","8,059,188.80","254,904,076.16","225,536,020.75","184,725,838.93","135,127,540.18","142,181,239.36","112,854,693.13","23,202,332.50","26,349,299.05"
短期借款,"45,999,890.27","54,966,615.94","54,750,000.00","59,750,000.00","59,750,000.00","48,750,000.00","44,000,000.00","39,000,000.00","39,000,000.00",,,,,,,,,,,,,"110,000,000.00",,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"2,995,658.54","3,272,453.18","18,087,408.65","15,551,385.48","14,043,400.96","15,216,520.72","22,063,473.06","19,457,263.02","28,997,767.27","27,324,153.88","27,230,717.24","34,765,168.89","35,520,661.54","37,778,371.67","28,150,444.54","40,172,533.09","29,681,226.26","40,954,142.06","42,224,601.12","46,780,723.98","54,795,857.47","37,934,636.49","26,060,303.93","46,629,213.26","50,079,848.30","26,550,399.88","37,380,126.69","36,309,386.11","18,733,310.31","12,909,140.47"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"6,443,549.88","7,207,597.75","9,740,461.47","14,705,919.29","19,882,478.49","17,992,033.42","10,316,416.82","19,941,163.31","12,709,093.68","9,790,064.14","8,449,368.02","8,789,925.58","11,407,932.31","21,402,367.35","48,941,303.86","49,488,271.23","46,924,109.26","41,689,234.66","39,102,930.87","41,683,006.74","40,717,563.77","50,554,298.57","53,320,557.01","53,383,408.59","60,809,093.49","58,471,369.06","44,424,295.45","54,843,309.17","53,007,056.84","55,878,017.74"
应付账款,"29,225,669.12","27,927,582.30","14,591,354.80","18,108,351.84","17,832,643.55","13,429,534.62","14,061,642.70","13,198,988.85","13,151,852.69","16,625,227.03","18,043,632.12","15,557,795.37","29,768,838.32","23,752,359.56","32,651,619.06","33,028,512.47","47,859,133.68","53,654,433.15","51,046,583.69","52,276,961.40","41,756,301.22","54,751,018.19","34,737,396.15","29,148,129.21","34,081,867.32","31,921,715.37","75,353,510.84","64,460,151.45","124,205,555.21","120,441,029.05"
预付款项,"11,487,691.00","1,045,348.32","2,497,509.03","3,916,741.08","3,935,756.61","4,233,797.17","10,635,768.85","9,120,879.20","13,316,062.06","27,438,518.32","14,513,790.81","19,749,781.80","10,194,741.65","6,155,451.88","8,559,185.92","9,353,936.92","12,441,429.64","7,831,188.00","9,299,290.06","10,600,597.08","11,234,017.06","9,053,285.46","10,465,929.16","7,229,079.23","5,162,303.66","6,837,074.81","2,772,457.45","3,654,772.00","3,396,191.04","6,708,822.19"
预收款项,"51,281.00","202,557.01","49,847.55","326,436.15","3,603,571.54","48,266.60","529,484.47","1,776,640.43","1,958,232.09","3,506,935.83","10,178,453.21","107,253.95","1,471,644.98","4,459,456.52","984,886.29","593,708.86","2,987,104.39","2,500,166.42","1,385,626.42","486,134.24","341,053.63","1,518,378.12","3,328,498.19","1,495,341.20","2,446,352.74","2,700,751.61","4,654,796.96","4,286,532.92","3,024,890.09","4,156,144.33"
其他应收款,"2,891,185.06","1,842,199.53","3,620,547.00","4,729,573.00","2,855,456.53","3,251,240.17","1,811,708.61","1,669,138.79","3,112,393.42","4,563,415.28","1,440,805.15","3,465,804.28","2,442,693.89","2,251,446.10","1,528,432.60","2,130,826.97","1,556,966.23","1,460,574.07","3,303,215.53","1,374,967.63","644,582.87","758,972.22","420,529.03","1,837,976.64","1,345,874.08","1,134,528.50","2,176,325.99","2,291,090.54","2,362,846.67","3,173,740.53"
应付职工薪酬,"91,285.37","117,198.83","107,080.84","523,860.79","112,892.87","262,743.64","283,004.13","237,142.88","430,354.73","245,911.89","369,655.14","608,228.83","620,017.20","608,983.74","487,538.79","537,623.38","331,002.35","323,786.54","424,107.40","434,865.30","538,766.51","613,473.01","641,954.36","733,026.29","765,371.00","834,666.03","997,311.02","1,024,996.29","1,156,742.81","1,296,646.15"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"1,825,845.67","2,869,647.23","4,517,791.89","1,922,712.15","3,320,758.82","4,101,978.07","2,787,270.23","2,599,790.83","4,052,212.52","3,202,947.26","3,803,307.33","7,305,244.63","1,380,922.57","3,427,383.29","2,611,036.97","2,755,289.13","2,141,443.41","1,013,479.86","1,855,230.97","1,829,889.07","2,708,458.14","827,902.65","1,457,452.40","3,814,688.37","1,583,740.35","1,185,158.58","2,585,433.20","3,083,662.43","1,201,747.15","694,533.44"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,"3,422,222.21","5,622,222.20","7,822,222.19","1,222,222.18","3,422,222.17","5,622,222.16","7,822,222.15","1,222,222.14","3,422,222.17","5,622,222.16","7,822,222.15",,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"1,177,092.89","4,944,178.77","3,377,472.99","1,714,476.79",,,,,"224,150.00",,,,,,,,,,,"3,950,960.00",,,,,,,,,,
存货,"55,102,711.58","59,902,747.58","50,996,664.24","54,796,168.46","55,439,124.61","59,135,430.08","46,991,649.76","52,787,699.74","48,432,423.52","54,670,584.36","92,285,323.66","84,509,300.86","100,842,072.26","104,515,923.48","112,677,424.33","128,682,200.23","153,142,731.72","157,436,866.18","158,200,834.28","152,649,236.70","132,322,242.35","141,695,536.57","126,826,444.26","109,606,544.24","98,054,420.93","94,694,466.20","97,066,213.87","98,146,352.99","113,654,692.90","142,768,691.97"
其他应付款,"9,356,247.52","372,461.15","298,756.05","502,356.29","6,078,756.05","344,704.21","926,093.10","863,145.11","512,029.15","303,609.56","346,139.44","149,841.81","527,665.94","846,643.05","773,109.69","663,259.23","648,443.81","903,235.85","862,745.78","527,484.40","1,728,790.82","2,774,144.49","11,686,915.51","1,785,887.12","1,343,078.41","920,979.20","951,914.39","657,191.38","553,279.97","929,713.11"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,"1,364,891.91","1,475,914.66","1,623,661.01","1,519,139.88","1,504,135.65","1,270,987.10","927,421.22","551,422.04"
一年内到期的非流动负债,"72,000.00",,,,,,,,,,,,,,,,,,"109,206,853.31","109,525,975.07","109,852,507.65",,,,,,,,,
其他流动资产,,,,,,,,,,,,,"480,040.47","7,320.70",,"13,822.26","856,124.03","1,538,568.78",,,,,"5,572.43","2,740.36","1,434,468.46","897,126.08","956,913.46","2,204,294.82","66,682,536.47","32,917,978.18"
其他流动负债,"342,857.14","342,857.14","879,824.09","794,109.80","643,726.40","525,677.55","879,824.09","659,868.07","439,912.04","219,956.01","879,824.09","879,824.09","879,824.09","879,824.09","1,022,681.23","1,022,681.23","1,165,538.37","1,165,538.37","1,308,395.49","1,308,395.49","1,308,395.49","1,308,395.49","1,415,538.57","1,415,538.57","1,415,538.57","1,522,681.43","1,415,538.57","1,415,538.57","1,415,538.57","1,415,538.57"
流动资产合计,"83,995,064.56","79,863,383.77","93,219,397.22","103,957,955.43","268,273,984.71","229,677,680.48","205,420,117.27","193,276,748.46","175,174,206.30","246,728,220.60","265,699,621.72","272,267,988.14","278,059,149.02","274,532,305.66","291,579,988.26","301,029,590.28","305,363,513.48","302,269,747.12","302,417,067.51","300,122,308.82","287,555,381.51","248,055,918.11","473,368,303.89","445,700,897.73","403,235,508.86","325,231,644.59","328,461,707.92","311,574,885.86","281,966,387.95","281,257,112.17"
流动负债合计,"88,142,168.98","91,743,098.37","78,572,128.21","83,642,303.81","91,342,349.23","67,462,904.69","63,467,318.72","58,335,576.17","59,768,743.22","24,104,587.58","37,043,233.54","30,230,410.88","42,471,135.29","35,196,872.43","41,953,094.20","44,223,296.46","62,954,888.16","60,782,862.33","169,511,765.23","175,962,887.13","166,056,495.61","171,793,311.95","53,267,755.18","38,392,610.76","41,635,948.39","39,085,952.22","85,958,504.98","74,928,073.04","131,557,753.80","128,933,604.65"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,"1,800,000.00","3,600,000.00","1,800,000.00","1,800,000.00","1,800,000.00","1,800,000.00"
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,"111,222,222.22","106,901,266.23","107,166,846.32","107,438,593.85","107,716,652.06","108,001,167.51","108,292,290.13","108,590,173.38","108,894,974.23",,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00"
长期股权投资,,,,,,,,,,,,,,,,,,,,,,,,"1,800,000.00",,"490,000.00","2,290,016.29","2,290,140.14","4,005,140.14","4,004,380.72"
专项应付款,"10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"96,559,182.10","119,609,008.64","115,216,304.61","113,726,353.45","112,180,672.44","110,589,002.14","109,013,025.15","108,011,889.63","108,028,802.26","188,972,974.94","199,770,399.72","198,137,050.83","197,093,756.34","208,926,454.22","204,507,315.39","201,011,658.04","207,762,298.63","204,598,898.94","206,923,414.78","203,278,857.52","199,887,060.21","197,906,102.93","200,106,088.93","196,734,456.11","193,526,144.66","189,709,908.27","184,750,366.07","182,454,757.58","496,232,546.28","489,404,131.41"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"12,875,505.82","496,354.00","2,888,407.80","3,121,817.30","5,295,434.45","24,106,236.37","54,185,789.14","67,029,152.64","87,751,503.01","19,627,327.60","9,847,617.49","13,444,683.32","15,088,995.22","6,781,584.21","9,086,962.89","9,345,368.03","2,550,236.02","3,588,431.34","1,710,478.41","11,773,122.80","15,953,837.30","60,833,508.33","33,027,689.69","50,656,763.00","92,125,603.61","174,237,187.75","236,714,804.65","251,223,123.64","15,782,035.60","24,539,872.81"
其他非流动负债,"4,100,000.00","4,857,142.86","9,047,980.53","9,047,980.53","9,047,980.53","9,047,980.53","8,165,291.86","8,165,291.86","8,165,291.86","8,165,291.86","7,285,467.77","7,265,511.74","7,045,555.71","6,825,599.68","8,203,262.73","7,947,592.41","9,418,112.59","9,126,727.99","10,502,009.79",,,,,,,,,,,
工程物资,,,,,,,"503,626.28","524,531.60","233,492.73","387,929.29",,,,,,,,,,,,,,,,,,,,
非流动负债合计,"14,100,000.00","14,857,142.86","19,047,980.53","19,047,980.53","19,047,980.53","19,047,980.53","18,165,291.86","18,165,291.86","18,165,291.86","129,387,514.08","124,186,734.00","124,432,358.06","124,484,149.56","124,542,251.74","126,204,430.24","126,239,882.54","128,008,285.97","128,021,702.22","20,502,009.79","20,174,910.85","19,847,811.91","19,520,712.97","20,229,328.09","21,357,586.30","21,021,558.79","20,560,531.28","28,313,789.52","27,959,904.87","27,606,020.22","27,082,492.74"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"102,242,168.98","106,600,241.23","97,620,108.74","102,690,284.34","110,390,329.76","86,510,885.22","81,632,610.58","76,500,868.03","77,934,035.08","153,492,101.66","161,229,967.54","154,662,768.94","166,955,284.85","159,739,124.17","168,157,524.44","170,463,179.00","190,963,174.13","188,804,564.55","190,013,775.02","196,137,797.98","185,904,307.52","191,314,024.92","73,497,083.27","59,750,197.06","62,657,507.18","59,646,483.50","114,272,294.50","102,887,977.91","159,163,774.02","156,016,097.39"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"56,980,000.00","56,980,000.00","56,980,000.00","56,980,000.00","75,980,000.00","75,980,000.00","75,980,000.00","75,980,000.00","151,960,000.00","151,960,000.00","151,960,000.00","151,960,000.00","197,548,000.00","197,548,000.00","197,548,000.00","197,548,000.00","197,548,000.00","197,548,000.00","197,548,000.00","197,548,000.00","197,548,000.00","197,548,000.00","230,437,054.00","230,437,054.00","460,874,108.00","460,874,108.00","460,874,108.00","460,874,108.00","460,874,108.00","460,874,108.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"11,890,749.26","12,428,749.26","12,590,749.26","12,590,749.26","142,469,059.26","142,469,059.26","142,469,059.26","142,469,059.26","66,489,059.26","66,489,059.26","66,739,059.26","66,739,059.26","51,543,059.26","51,543,059.26","51,543,059.26","51,543,059.26","51,543,059.26","51,543,059.26","51,543,059.26","51,543,059.26","51,543,059.26","51,543,059.26","382,705,783.94","382,705,783.94","152,268,729.94","152,268,729.94","152,268,729.94","152,268,729.94","152,268,729.94","152,268,729.94"
无形资产,"5,965,493.30","5,828,355.50","8,174,592.29","8,061,885.47","7,949,178.65","7,836,471.83","7,894,933.71","7,775,849.61","7,656,765.51","7,537,681.41","7,418,597.31","7,299,513.21","7,180,429.11","7,061,345.01","7,747,460.30","7,567,478.78","7,421,329.16","7,261,646.78","7,101,964.40","6,942,282.02","8,889,891.31","8,677,083.94","59,180,773.31","58,765,579.74","65,972,400.42","65,296,461.28","72,049,289.45","71,179,234.91","73,526,402.57","72,573,855.14"
盈余公积,"5,360,920.01","6,497,676.08","8,660,125.06","8,660,125.06","8,660,125.06","8,660,125.06","11,127,270.51","11,127,270.51","11,127,270.51","11,127,270.51","14,665,615.52","14,665,615.52","14,665,615.52","14,665,615.52","19,547,811.66","19,547,811.66","19,547,811.66","19,547,811.66","20,507,098.04","20,507,098.04","20,507,098.04","20,507,098.04","21,357,841.24","21,357,841.24","21,357,841.24","21,357,841.24","23,355,275.49","23,355,275.49","23,355,275.49","23,355,275.49"
开发支出,"200,000.00","904,615.38",,,,,,"1,000,000.00","1,473,918.96","1,473,918.96","1,925,000.00","1,925,000.00","2,225,000.00","2,225,000.00","3,425,000.00","3,425,000.00","5,045,628.45","7,465,826.11","9,362,397.82","10,212,094.00","10,585,509.28","11,076,849.25","11,916,496.30","12,317,315.51","4,778,812.85","4,965,438.28","3,487,050.87","3,515,178.51","1,994,225.42","2,016,225.42"
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
