科目,2009-12-31,2010-12-31,2011-03-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"5,750,632.68","70,151,497.17","119,240,763.95","39,261,004.24","49,801,747.30","416,760,694.92","386,222,697.06","398,767,239.12","415,498,618.52","372,817,553.70","412,209,727.65","398,062,767.01","363,441,363.63","399,893,197.55","401,141,410.38","384,677,156.84","387,422,845.09","309,668,017.25","610,650,421.19","538,612,823.43","477,292,484.98","1,197,807,414.10","1,117,154,673.38","1,326,812,920.80","1,272,677,713.50","1,050,041,786.31","868,894,768.77","900,910,712.65","693,899,563.32","400,210,397.66","465,288,776.12","325,564,630.35","314,977,498.44"
短期借款,"20,000,000.00","20,000,000.00","26,589,596.00","95,000,000.00","155,000,000.00","155,000,000.00","155,000,000.00","204,733,666.19","285,777,700.82","220,674,495.01","228,746,563.09","230,831,795.49","231,276,711.29","253,918,459.17","358,799,204.52","302,936,100.12","323,902,942.59","340,391,128.25","432,817,351.42","475,159,665.42","455,353,972.40","475,608,453.59","543,476,623.69","765,068,833.68","919,522,289.28","1,388,446,120.59","1,371,444,720.03","1,297,524,543.15","1,390,839,794.95","1,095,188,152.55","878,863,917.85","638,346,651.10","535,644,379.64"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,"1,113,218.00","2,830,019.00","990,000.00",,"710,000.00","650,000.00","36,065,000.00","5,020,000.00","4,909,571.20","2,177,550.15","3,074,665.25","5,993,600.00","39,393,809.00","9,611,644.80","1,266,069.74","677,015.60","1,024,000.00","3,445,192.65","4,951,086.00"
应付票据,,"26,500,000.00","42,200,000.00","4,800,000.00","18,400,000.00","11,300,000.00","4,700,000.00","8,698,743.40","9,498,743.40","19,150,000.00","19,100,000.00","19,800,000.00","40,308,943.05","34,300,000.00","19,500,000.00","110,636,782.00","150,000,000.00","178,700,000.00","376,311,624.50","306,773,158.25","299,169,682.25","318,171,524.00","318,298,880.30","354,196,175.96","395,350,589.47","159,731,719.66","172,454,688.81","84,990,747.11","82,208,695.03","137,445,199.88",,"11,446,880.00",
应收账款,"96,977,533.89","109,774,820.63","262,761,480.30","85,496,170.73","146,924,155.71","98,271,842.52","87,269,721.92","198,382,206.76","236,105,982.31","193,331,891.04","139,446,886.10","193,202,234.05","247,896,808.59","166,006,438.47","151,071,807.61","174,451,531.99","220,461,481.00","203,203,860.65","1,087,725,111.74","1,461,916,253.07","1,562,399,586.17","2,095,933,605.09","2,032,725,502.10","1,848,263,507.91","2,159,059,363.35","2,261,405,157.92","2,113,428,562.64","2,149,696,583.84","2,394,975,815.82","2,775,366,455.42","2,073,962,874.00","1,723,034,630.18","1,737,419,290.96"
应付账款,"172,663,305.42","190,186,831.47","267,384,649.76","64,108,471.19","63,126,221.82","59,888,083.64","72,043,532.34","122,666,331.22","156,884,452.90","158,139,587.28","141,456,684.59","207,407,014.73","154,977,798.54","156,618,615.08","162,153,925.41","157,510,452.44","139,162,702.57","121,914,057.29","558,278,161.66","1,065,315,909.31","865,911,081.02","885,156,625.59","913,683,955.47","1,224,166,173.00","1,178,969,147.46","957,304,551.05","843,384,041.93","707,941,499.27","706,925,114.49","631,429,962.53",,"828,613,294.59",
预付款项,"968,535.46","3,509,744.29","1,136,434.80","9,423,410.27","18,685,280.13","17,109,420.69","16,620,274.66","7,063,215.74","7,850,707.07","4,486,842.27","2,321,749.92","16,998,903.15","14,789,552.08","23,210,066.98","30,393,382.66","13,962,731.18","15,058,037.29","11,064,607.33","255,481,374.10","229,739,507.08","325,710,832.13","471,470,775.37","550,053,030.69","627,464,373.90","597,345,267.06","653,915,912.88","677,529,341.25","59,066,254.27","144,262,058.45","76,577,196.87","82,522,409.04","16,878,041.09","26,986,910.29"
预收款项,"633,929.43","900,025.60","309,020.03","818,297.38","384,266.94",,"1,781,579.28","4,562,603.29","5,633,139.18","3,379,655.56","3,711,917.87","2,782,087.23","24,019,728.47","1,824,063.99","6,104,456.91","9,852,349.92","5,713,102.51","4,436,901.76","406,012,600.44","344,046,869.48","524,930,485.83","635,343,655.71","528,000,587.24","335,645,184.03","317,266,940.04","129,839,935.90","71,546,295.57","12,104,594.76","11,158,969.55","13,151,307.14","13,492,547.81","13,975,794.55","19,424,141.48"
其他应收款,"11,423,254.66","7,098,253.02","48,266,734.13","10,210,552.24","35,388,613.94","34,655,981.05","40,165,266.78","9,507,113.49","4,040,783.30","24,112,349.01","26,732,340.47","32,131,149.86","29,170,987.59","53,572,500.86","33,756,566.39","34,996,059.42","43,867,609.10","145,835,623.73","34,352,075.35","27,737,556.47","59,067,639.39","51,801,032.54","58,748,029.00","40,236,390.60","54,397,206.56","50,009,689.52","61,059,422.66","67,610,522.60","56,129,415.05","75,166,919.27","122,905,060.32","426,122,081.18","414,408,713.25"
