科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"9,989,542.00","31,146,293.71","59,894,078.35","50,575,074.87","399,147,544.02","394,121,994.94","401,031,536.80","385,162,807.24","380,899,441.16","370,453,899.79","368,874,934.49","305,082,447.21","290,781,225.17","229,502,957.49","235,737,893.52","265,224,823.85","208,270,095.86","241,517,425.77","2,259,126,116.11","2,240,988,258.87","2,134,256,603.67","2,087,810,175.06","411,886,432.57","340,792,790.59","246,673,615.95","257,334,460.93","261,415,988.04"
短期借款,"7,000,000.00","49,700,000.00","77,000,000.00","60,000,000.00",,,,,,,,,,,,"20,000,000.00",,,"50,000,000.00","55,000,000.00","5,000,000.00",,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"500,000.00","200,000.00","2,561,318.00","3,280,000.00","150,000.00","430,000.00","2,070,000.00","1,800,000.00","1,553,702.00","3,992,844.35","9,385,067.18","12,251,426.17","5,542,307.00","2,385,000.00","1,751,000.00","1,250,000.00","1,740,000.00","800,000.00","1,699,438.00","2,040,106.90","139,700.00","595,014.00",,"31,159.20",,,"400,000.00"
应付票据,,,,,,,,,,,,,,,,,,,,,"4,970,756.20","18,709,527.91","41,990,427.94","26,360,953.23","49,256,016.36","46,953,666.10","32,556,460.84"
应收账款,"27,217,455.17","37,193,320.05","28,718,012.76","37,608,040.86","32,562,052.15","40,474,178.16","36,923,148.97","47,253,147.86","45,550,066.57","43,006,673.70","33,910,333.65","32,740,237.98","46,165,740.97","44,721,476.20","39,250,593.77","38,886,644.98","40,962,793.01","42,179,214.44","459,060,113.82","493,608,179.87","542,286,942.55","725,697,858.91","664,808,652.22","744,984,884.75","820,957,535.41","949,048,859.69","791,648,180.20"
应付账款,"39,654,507.13","61,968,591.23","48,486,057.12","56,643,700.00","55,528,381.75","52,174,290.01","55,003,418.84","50,497,709.17","49,640,515.10","38,150,654.28","39,643,212.75","36,332,886.41","36,463,985.24","32,018,881.81","29,483,780.27","25,003,808.12","24,018,135.82","17,710,183.66","67,403,273.09","82,539,411.89","78,227,816.52","87,016,676.69","82,347,592.30","105,020,539.01","75,053,337.79","41,067,694.06","49,112,737.37"
预付款项,"11,099,926.88","8,338,750.87","20,720,260.60","21,436,266.09","6,671,235.20","6,112,041.45","3,310,185.56","8,307,648.24","5,839,369.09","2,726,596.74","2,663,869.92","5,189,858.92","5,532,103.45","2,792,655.33","5,488,753.59","8,459,756.15","4,109,082.57","2,813,690.14","27,244,311.80","34,716,872.00","58,396,294.45","71,717,214.37","20,937,211.88","40,205,821.61","88,716,013.09","124,617,527.86","18,964,140.05"
预收款项,"11,790,566.61","15,534,701.64","19,325,932.72","31,144,229.28","18,083,687.92","15,693,595.43","15,655,998.69","22,096,900.23","13,807,814.71","14,961,269.78","8,603,627.65","12,367,629.37","11,172,823.59","10,865,277.79","21,926,679.33","22,775,571.45","8,558,468.26","9,078,749.48","58,748,441.75","34,706,765.83","30,099,904.14","36,346,574.14","52,137,671.55","48,953,636.78","72,036,017.79","50,698,010.00","43,751,788.67"
