科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"23,845,676.79","40,143,721.75","48,580,236.08","89,169,367.48",,"254,086,756.44","111,199,165.48","213,835,414.37","133,019,614.75","253,651,170.63","235,677,060.60","175,094,553.43"
短期借款,"15,000,000.00",,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,"31,100,000.00","48,430,000.00","52,165,495.87","32,317,038.00",,"65,895,531.00","56,729,750.00","63,890,153.00","49,690,322.80","18,933,616.00","2,667,247.24","21,473,340.00"
应付票据,"19,933,441.16","10,833,785.05","6,014,139.82","3,831,480.25",,"1,585,167.59",,,,"2,000,000.00","2,000,000.00",
应收账款,"80,667,385.08","98,946,043.72","111,890,166.18","133,793,147.05",,"116,602,602.28","124,340,320.06","114,047,100.16","119,056,718.91","112,625,479.88","150,524,447.94","127,145,052.07"
应付账款,"48,153,545.17","41,833,174.32","41,235,663.48","42,099,965.55",,"40,833,905.57","38,864,763.24","46,780,281.53","50,579,469.98","65,596,223.14","66,619,001.98","50,782,153.14"
预付款项,"382,411.27","550,432.81","241,110.91","705,928.91",,"600,692.48","880,641.25","1,170,399.20","1,292,929.85","643,474.73","471,051.08","689,178.00"
预收款项,,,,,,,,"112,917.57",,"117,065.00",,"800,000.00"
其他应收款,"198,940.00","179,940.00","4,008,185.69","5,713,848.66",,"4,440,373.00","3,443,239.73","3,622,775.81","3,678,063.73","40,134,958.10","1,326,183.08","2,425,913.70"
应付职工薪酬,"7,354,823.51","6,603,573.65","6,737,206.05","3,204,502.50",,"6,617,208.57","3,537,981.72","3,263,093.87","1,361,509.68","7,372,733.52","4,073,861.05","3,780,134.93"
应收关联公司款,,,,,,,,,,,,
应交税费,"6,321,052.34","7,695,957.35","8,977,298.88","12,485,000.98",,"10,117,714.14","9,008,117.68","6,284,283.73","7,625,644.50","13,735,064.45","11,696,044.51","4,659,001.83"
应收利息,,,,,,,,,,,,
应付利息,,,,,,,,,,,,
应收股利,"8,188,470.00",,"8,852,400.00",,,"6,639,300.00","6,639,300.00","8,631,090.00",,,,
应付股利,"50,000,000.00",,,"185,832.17",,"185,832.17","185,832.17","692,024.28",,,,
存货,"55,810,399.14","52,445,464.63","38,833,784.80","29,691,112.04",,"31,803,178.40","33,014,291.82","41,990,893.81","48,024,967.82","63,307,956.83","68,396,007.96","65,070,654.41"
其他应付款,"926,502.96","12,892.95",,"348,542.94",,"5,573,744.73",,253.93,"40,128.08","20,554.40","21,457.42","51,103.17"
其中:消耗性生物资产,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,
其他流动资产,,,"35,550,459.13","635,732.48",,"50,345,222.53","210,000,000.00","95,753,332.58","69,000,000.00","110,754,661.17","168,175,369.35","199,131,915.48"
其他流动负债,,,,,,,,,,,,
流动资产合计,"200,193,282.28","240,695,602.91","300,121,838.66","292,026,174.62","311,378,000.00","530,413,656.13","546,246,708.34","542,941,158.93","423,762,617.86","600,051,317.34","627,237,367.25","591,030,607.09"
流动负债合计,"147,689,365.14","66,979,383.32","62,964,308.23","62,155,324.39","56,316,200.00","64,913,572.77","51,596,694.81","57,132,854.91","59,606,752.24","88,841,640.51","84,410,364.96","60,072,393.07"
可供出售金融资产,,,,,,,,,,"5,000,000.00","9,000,000.00","24,000,000.00"
长期借款,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,
应付债券,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,
长期股权投资,"34,291,439.89","33,155,094.82","32,191,569.47","86,684,546.20",,"85,416,543.45","88,215,164.48","92,032,528.60","187,425,056.24","41,874,767.80","43,814,684.57","44,411,323.43"
专项应付款,"100,000.00","100,000.00","100,000.00","100,000.00",,"100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00","100,000.00"
投资性房地产,,,,,,,,,,,,
预计负债,,,,,,,,,,,,
固定资产,"257,797,837.47","277,246,440.64","247,073,352.71","231,033,077.29","224,347,300.00","215,587,863.04","208,419,159.40","202,334,933.16","230,444,358.83","231,196,036.03","227,043,284.34","221,841,073.99"
递延所得税负债,,,,,,,,,,,,
在建工程,"46,944,485.19",,,,,,,"350,282.92","420,707.45",,"2,601,391.10","3,276,273.79"
其他非流动负债,,,,,,,,,,,,
工程物资,,,,,,,,,,,,
非流动负债合计,"6,233,851.25","5,657,836.25","4,984,171.25","4,647,338.75",,"4,310,506.25","4,142,090.00","3,973,673.75","3,805,257.50","3,636,841.25","3,468,425.00","3,300,008.75"
固定资产清理,"112,547.14",,,,,,,,,,,
负债合计,"153,923,216.39","72,637,219.57","67,948,479.48","66,802,663.14","60,795,100.00","69,224,079.02","55,738,784.81","61,106,528.66","63,412,009.74","92,478,481.76","87,878,789.96","63,372,401.82"
生产性生物资产,,,,,,,,,,,,
实收资本(或股本),"189,700,000.00","189,700,000.00","379,400,000.00","379,400,000.00",,"421,560,000.00",,"421,560,000.00","421,560,000.00","421,560,000.00","423,510,000.00","423,510,000.00"
油气资产,,,,,,,,,,,,
资本公积,"1,039,301.55","1,039,301.55","1,039,301.55","1,039,301.55",,"131,645,279.01","131,645,279.01","131,645,279.01","131,645,279.01","131,645,279.01","142,311,779.01","142,311,779.01"
无形资产,"13,060,280.36","12,764,671.40","12,598,335.94","12,060,796.79",,"12,008,266.11","11,917,014.62","11,826,052.07","13,599,339.63","23,096,381.58","23,057,445.67","22,837,812.75"
盈余公积,"71,786,482.49","80,853,140.99","56,341,800.77","56,341,800.77",,"65,477,470.44","65,477,470.44","65,477,470.44","65,477,470.44","74,568,526.20","74,568,526.20","74,568,526.20"
开发支出,,,,,,,,"2,452,940.85","3,300,085.38",,"2,833,702.70",
减:库存股,,,,,,,,,,,,
商誉,,,,,,,,,"8,412,931.92",,,
未分配利润,"138,355,778.62","221,876,956.15","91,028,259.03","121,998,298.71",,"159,335,576.10","184,085,056.10","182,971,360.81","200,595,568.76","227,203,088.21","263,223,595.51","264,998,630.87"
长期待摊费用,"68,604.12",,"1,370,804.82","1,231,400.94",,"1,091,997.06","1,022,295.12","952,593.18","5,674,293.99","5,342,231.58","5,490,650.77","5,125,422.28"
少数股东权益,,,,,,,,,,"5,013,307.18","5,036,097.81","5,036,770.45"
递延所得税资产,"2,336,302.60","2,244,808.49","2,401,939.23","2,546,068.33",,"2,224,878.78","2,171,648.40","2,104,126.65","2,034,285.65","2,545,078.37","2,816,754.36","2,190,202.62"
外币报表折算价差,,,,,,,,,,,,
其他非流动资产,,,,,,"499,200.00","514,600.00","7,766,022.56","7,616,651.00","43,362,869.66","52,633,507.73","59,085,392.40"
非正常经营项目收益调整,,,,,,,,,,,,
非流动资产合计,"354,611,496.77","325,411,015.35","295,636,002.17","333,555,889.55",,"316,828,748.44","312,259,882.02","319,819,479.99","458,927,710.09","352,417,365.02","369,291,421.24","382,767,501.26"
所有者权益(或股东权益)合计,"400,881,562.66","493,469,398.69","527,809,361.35","558,779,401.03","578,778,600.00","778,018,325.55","802,767,805.55","801,654,110.26","819,278,318.21","859,990,200.60","908,649,998.53","910,425,706.53"
资产总计,"554,804,779.05","566,106,618.26","595,757,840.83","625,582,064.17","639,573,800.00","847,242,404.57","858,506,590.36","862,760,638.92","882,690,327.95","952,468,682.36","996,528,788.49","973,798,108.35"
负债和所有者(或股东权益)合计,"554,804,779.05","566,106,618.26","595,757,840.83","625,582,064.17",,"847,242,404.57","858,506,590.36","862,760,638.92","882,690,327.95","952,468,682.36","996,528,788.49","973,798,108.35"
