科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"512,237,038.16","1,736,634,734.66","1,467,921,744.85","266,697,227.49","600,464,701.75","852,974,740.82","1,077,371,180.00","391,258,106.98","823,434,658.06","1,226,903,179.21","1,810,400,068.70","503,552,843.52","1,063,296,726.99","1,766,159,835.17","2,765,384,065.14","637,263,427.16","1,380,794,675.00","2,087,760,893.66","3,954,411,595.84","1,469,083,392.26","3,383,556,452.78","4,839,165,985.45","7,474,935,829.64","1,195,349,308.36","3,588,829,927.76","6,869,237,790.38","10,945,265,411.95","3,202,096,799.92","8,353,368,705.25"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,"6,499,773.66","7,014,069.15",,,,,,,,"6,434,242.49",,"1,670,090.12","1,670,090.12","8,170,090.12",,
收到的税费返还,"4,047,587.31","4,390,623.73","19,285,237.25","15,605,191.46","23,873,877.25","29,481,415.22","39,887,182.46","13,571,883.18","27,602,767.12","46,784,518.38","82,916,686.20","59,605,939.31","79,414,602.59","85,758,371.02","172,093,283.45","138,999,299.71","141,116,196.10","206,820,777.73","239,571,772.48","83,195,167.31","113,224,989.09","129,312,149.28","142,015,521.49","34,101,817.17","46,062,777.80","55,802,422.33","120,768,849.87","218,652,279.61","254,719,151.86"
支付其他与投资活动有关的现金,,,"3,140,000.00",,"1,300,000.00","3,916,000.00","14,838,809.00","490,000.00","590,000.00","690,000.00","810,000.00","112,000.00","304,453.93","304,453.93","304,453.93","15,232,828.07","374,696,992.43","374,696,992.43","374,915,792.43",,"307,628.73","307,628.73","5,394,872.43","20,057,954.24","86,659,325.85","82,437,317.57","69,407,879.94","2,135,449.99","45,803,183.10"
收到其他与经营活动有关的现金,"16,378,612.31","36,443,910.79","78,086,529.53","17,520,107.08","32,758,509.56","38,287,491.61","57,820,584.50","8,644,838.47","30,749,525.24","39,032,214.90","54,727,493.94","12,999,797.60","23,047,123.04","69,156,327.73","49,551,052.81","17,450,165.01","36,825,584.95","60,857,577.24","152,349,306.54","23,127,284.83","113,005,981.33","265,728,545.34","370,648,207.60","70,108,172.41","230,761,876.11","423,915,221.01","502,389,180.10","276,225,931.06","545,729,328.86"
投资活动现金流出小计,"312,715,330.24","622,844,434.64","592,056,586.80","15,842,642.37","143,727,930.09","207,984,444.67","253,491,210.93","44,697,354.24","121,815,316.19","205,315,450.52","332,440,697.02","76,813,804.49","184,476,871.16","270,465,822.10","503,611,892.17","232,642,800.48","1,428,412,812.13","2,328,777,731.65","3,516,890,774.88","1,716,782,048.89","2,522,821,409.95","4,051,122,640.26","4,299,674,562.71","3,507,451,081.42","6,925,151,152.37","9,052,710,958.13","10,682,635,710.92","3,952,592,903.11","6,152,064,353.32"
经营活动现金流入小计,"532,663,237.78","1,777,469,269.18","1,565,293,511.63","299,822,526.03","657,097,088.56","920,743,647.65","1,175,078,946.96","413,474,828.63","881,786,950.42","1,312,719,912.49","1,948,044,248.84","576,158,580.43","1,165,758,452.62","1,921,074,533.92","2,987,028,401.40","793,712,891.88","1,558,736,456.05","2,355,439,248.63","4,346,332,674.86","1,575,405,844.40","3,609,787,423.20","5,234,206,680.07","7,987,599,558.73","1,299,559,297.94","3,865,654,581.67","7,348,955,433.72","11,568,423,441.92","3,696,975,010.59","9,153,817,185.97"
投资活动产生的现金流量净额,"-312,199,330.24","-563,897,302.40","-588,547,378.49","-4,033,782.37","-129,801,490.09","-192,034,904.67","-228,988,393.90","-21,038,371.27","-97,977,579.31","-171,179,170.04","-274,992,236.54","-76,487,529.53","-182,983,163.20","-268,968,721.95","-483,292,288.91","-229,451,616.09","-1,367,200,595.82","-1,727,971,936.06","-1,215,775,914.11","-1,399,266,022.35","-1,130,636,711.88","-1,574,960,096.36","-2,151,835,230.20","-1,315,253,305.37","-2,483,889,531.22","-3,126,746,528.95","-3,774,042,010.86","-984,562,155.25","-2,464,344,382.71"
购买商品、接受劳务支付的现金,"354,423,485.51","780,223,062.34","1,253,590,138.55","181,325,580.47","514,545,495.45","1,064,775,768.84","899,686,565.75","351,826,682.23","489,693,283.40","865,862,774.39","1,535,955,739.05","386,999,502.74","791,083,305.79","1,467,460,268.13","2,088,879,402.52","676,132,223.75","1,378,692,743.46","2,175,447,491.06","3,027,348,505.01","961,952,223.93","2,188,785,247.96","3,570,848,444.43","5,293,203,035.49","1,265,370,336.06","2,237,376,928.45","4,079,462,876.75","6,888,152,882.77","3,290,638,837.13","5,992,705,603.40"
吸收投资收到的现金,"75,356,000.00","234,570,000.00","200,000.00","1,523,600,000.00","1,523,600,000.00","1,523,600,000.00","1,523,600,000.00",,,,,,"4,000,000.00","4,950,000.00","97,295,770.00",,"1,959,999,997.50","2,083,899,997.50","1,978,929,597.50",,"1,000,000.00","2,944,199,986.93","3,036,096,430.93","4,000,000.00","10,800,000.00","62,800,000.00","62,800,000.00","60,000,000.00","120,000,000.00"
