科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"259,539,528.33","436,823,842.12","589,836,948.79","108,047,801.11","212,349,352.69","329,362,732.58","459,872,718.36","135,285,737.42","284,435,863.75","389,764,553.11","574,523,199.13","145,529,725.38","328,494,547.24","493,844,397.47","619,961,691.07","141,316,281.87","317,749,383.82","534,900,174.38","798,769,598.02","207,227,874.72","457,871,522.67","779,587,511.44","1,075,248,363.08","325,456,741.42","695,405,527.26","1,083,674,536.98","1,455,259,998.77","315,719,426.88","588,711,033.38"
取得子公司及其他营业单位支付的现金净额,"430,559.72",,,,,,,,,,"7,980,292.37",,,,"51,635,360.00","17,123,770.85","35,723,157.85","35,723,157.85","44,353,606.34",,,,,,,,,,
收到的税费返还,"1,060,820.23","4,610,484.94","8,231,755.16","11,884,246.71","29,120,860.31","38,155,024.55","41,973,200.54","10,556,323.07","10,911,891.28","28,656,078.77","38,602,619.84","16,020,529.09","21,094,629.71","33,200,156.93","38,352,791.25","5,805,339.73","8,935,867.81","19,615,040.39","28,083,328.89","15,548,406.13","22,927,348.04","37,789,827.42","42,847,860.22","13,641,284.31","21,838,924.60","51,441,836.57","73,218,621.76","23,130,587.35","34,434,401.01"
支付其他与投资活动有关的现金,,,,,,,,,"150,000,000.00","150,000,000.00","1,945,889.19",,"3,000,000.00","22,925,335.95","76,585,807.22","2,306,623.39","42,606,374.31","83,628,987.07","2,215,340.53","10,526,296.50","21,069,073.00","21,332,914.05","5,540,193.48","632,509.50","16,613,469.00","26,884,366.50","5,068,470.67","614,784.13","15,364,784.13"
收到其他与经营活动有关的现金,"11,523,840.53","5,795,088.14","13,714,121.59","5,054,007.17","14,621,948.54","21,335,228.98","11,815,899.36","7,349,565.62","15,722,010.83","21,909,211.44","30,090,821.36","2,329,084.94","8,943,580.88","19,009,333.26","24,344,469.88","4,816,773.82","11,761,322.53","41,763,738.06","40,924,152.14","11,297,199.05","16,627,452.95","31,026,253.16","40,655,099.80","5,305,941.79","8,699,349.29","16,359,739.44","24,774,148.95","10,063,204.42","12,321,692.69"
投资活动现金流出小计,"17,921,186.23","21,138,898.87","14,015,080.10","2,557,315.48","30,513,220.11","56,418,496.03","82,575,757.38","24,233,896.10","192,138,499.28","227,979,972.30","240,569,267.37","39,529,458.47","79,027,561.66","184,802,645.71","790,002,810.42","53,145,010.31","144,826,473.69","233,756,695.73","242,758,848.58","24,777,672.47","65,121,287.82","99,614,329.81","201,928,180.73","19,835,474.43","47,135,533.51","107,550,485.90","129,318,908.17","79,104,220.18","98,606,789.38"
经营活动现金流入小计,"272,124,189.09","447,229,415.20","611,782,825.54","124,986,054.99","256,092,161.54","388,852,986.11","513,661,818.26","153,191,626.11","311,069,765.86","440,329,843.32","643,216,640.33","163,879,339.41","358,532,757.83","546,053,887.66","682,658,952.20","151,938,395.42","338,446,574.16","596,278,952.83","867,777,079.05","234,073,479.90","497,426,323.66","848,403,592.02","1,158,751,323.10","344,403,967.52","725,943,801.15","1,151,476,112.99","1,553,252,769.48","348,913,218.65","635,467,127.08"
投资活动产生的现金流量净额,"-17,921,186.23","-20,714,201.30","-13,910,079.10","-2,437,315.48","-30,393,220.11","-56,298,496.03","-82,441,117.38","-24,233,896.10","-192,138,499.28","-227,935,372.30","-240,405,647.40","-39,529,458.47","81,435,617.24","-14,294,430.40","-161,523,684.40","-7,227,686.45","-87,447,449.83","-135,884,204.64","-96,078,921.01","-24,777,672.47","-43,145,932.10","-77,953,912.64","-167,431,559.32","-16,828,325.24","-34,255,992.77","65,190,511.68","49,347,605.38","-79,094,220.18","-93,891,686.48"
购买商品、接受劳务支付的现金,"187,609,288.40","280,725,695.18","422,863,636.34","102,230,439.58","174,496,753.40","248,059,107.02","317,929,737.07","99,502,622.52","187,063,872.07","274,189,018.13","395,535,376.29","103,627,838.66","220,906,000.47","357,138,121.72","480,485,041.05","111,661,058.11","254,986,679.74","405,107,067.53","551,343,092.96","162,744,312.12","341,143,489.03","607,656,444.64","796,782,144.58","196,733,290.88","418,697,882.84","683,965,568.16","907,070,237.50","213,995,296.84","488,068,429.57"
吸收投资收到的现金,"26,000,000.00","1,225,000.00","500,000.00","426,188,800.00","427,288,800.00","427,288,800.00","444,185,760.00",,,,"2,500,000.00","1,250,000.00","77,200,000.00","77,200,000.00","78,680,000.00","49,475,712.00","49,527,068.74","49,527,068.74","49,965,712.00",,,"7,000,000.00","31,700,000.00","700,000.00","900,000.00","1,400,000.00","1,470,000.00",,
