科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"1,899,313,158.06","1,846,985,901.48","1,896,944,591.82","374,490,708.30","951,291,193.60","1,586,643,985.04","2,265,617,597.87","439,356,361.83","1,063,292,899.56","1,756,614,771.91","2,432,504,753.59","407,658,258.05"
二、营业利润,"223,041,748.07","213,630,005.28","286,986,176.45","28,451,022.68","103,225,798.12","201,121,665.13","292,383,293.56","41,862,611.62","109,642,265.89","150,781,683.48","200,090,339.48","1,916,682.55"
减:营业成本,"1,295,502,283.10","1,238,300,616.77","1,194,937,846.64","241,861,899.18","646,945,682.32","1,058,678,357.35","1,501,732,875.36","293,331,343.05","729,620,871.73","1,219,077,082.90","1,663,007,375.04","270,972,225.12"
加:补贴收入,,,,,,,,,,,,
营业税金及附加,"12,865,278.13","15,317,320.81","19,664,075.50","3,549,430.90","7,621,804.28","12,812,219.35","18,943,701.24","2,580,165.35","7,193,214.70","11,149,596.03","15,701,809.05","2,067,158.75"
营业外收入,"8,014,290.95","11,284,727.16","9,341,853.14","975,217.44","1,287,033.88","5,098,052.86","8,292,597.51","284,648.02","677,436.20","1,295,056.57","4,760,924.02","849,077.10"
销售费用,"217,662,898.02","228,269,814.39","230,539,558.79","58,604,122.80","122,563,215.62","196,026,382.14","287,241,212.84","71,873,540.21","157,232,643.34","264,505,093.62","406,508,118.26","84,477,088.59"
减:营业外支出,"914,129.22","1,753,972.55","1,743,908.32","466,759.33","1,134,390.06","1,589,861.50","2,559,472.28","443,204.95","750,979.18","1,672,481.44","2,786,658.79","470,375.12"
管理费用,"135,862,654.90","147,247,853.76","167,323,938.99","43,217,530.88","96,133,489.89","154,174,246.55","210,903,727.29","46,868,318.65","108,776,704.94","135,211,748.59","167,990,991.17","33,629,304.71"
其中:非流动资产处置净损失,"495,424.55","1,309,504.22","1,029,567.74","385,877.40","736,078.36","1,049,569.31",,,,,,
堪探费用,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,
财务费用,"12,283,404.63","4,641,067.81","-418,502.20","-347,568.26","-2,809,289.59","-3,987,979.59","-5,116,995.95","-720,015.79","-1,354,774.67","-2,131,942.55","-2,524,190.84","2,052,511.77"
三、利润总额,"230,141,909.80","223,160,759.89","294,584,121.27","28,959,480.79","103,378,441.94","204,629,856.49","298,116,418.79","41,704,054.69","109,568,722.91","150,404,258.61","202,064,604.71","2,295,384.53"
资产减值损失,"2,481,091.22","4,148,729.50","4,718,840.47","13,313.79","609,679.97","1,658,820.60","3,888,492.06","2,277,514.86","6,264,725.21","3,931,506.76","14,453,274.85","4,280,055.99"
减:所得税,"59,377,378.56","41,722,371.73","48,031,036.30","5,707,908.84","14,636,563.77","32,437,080.45","42,552,560.26","5,261,782.17","15,365,323.28","20,639,915.03","21,797,209.31","-3,860,873.23"
加:公允价值变动净收益,,,,,,,,,,,,
加:影响净利润的其他科目,,,-0.01,,,,,,,,,
投资收益,"386,200.01","4,569,506.84","6,807,342.82","859,043.67","1,612,224.49","12,240,782.71","17,699,424.26","18,500,134.86","35,567,762.95","38,364,047.19","56,692,006.10","3,214,868.70"
四、净利润,"170,764,531.24","181,438,388.16","246,553,084.96","23,251,571.95","88,741,878.17","172,192,776.04","255,563,858.53","36,442,272.52","94,203,399.63","129,764,343.58","180,267,395.40","6,156,257.76"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,
归属于母公司所有者的净利润,"170,764,531.24","181,438,388.16","246,553,084.96","23,251,571.95","88,741,878.17","172,192,776.04","255,563,858.53","36,442,272.52","94,203,399.63","129,764,343.58","180,267,395.40","6,156,257.76"
影响营业利润的其他科目,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,
