科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
其他应付款,"4,906,143.88","1,248,437.84","2,803,674.10","8,815,749.10","3,418,129.00","2,842,500.10","2,876,110.10","3,194,398.70","2,693,839.10","3,220,622.56","9,905,657.87","9,741,184.23","10,508,413.96","14,383,013.37","13,504,743.08","14,322,216.30","15,605,787.78","17,041,838.77","16,229,127.59","20,384,505.03","23,861,244.62","33,400,755.71","57,881,917.17","56,846,844.07","60,926,208.67","70,707,756.98","84,826,550.31","112,585,364.26"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,"36,236,748.58",,,,"237,602,035.62","257,521,643.84","199,649,095.90","70,604,594.37",,,,,,"-2,808.00",,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,"124,000,000.00","183,500,000.00","59,500,000.00","159,500,000.00",,,,,"190,142,191.79","131,405,205.49","272,975,013.71","347,287,602.75","192,664,671.24","363,360,722.10",,"185,721,397.26","180,804,465.75","282,280,278.51","191,226,410.96","324,156,064.70","193,233,237.16","163,590,610.17"
其他流动负债,,,,,,,"1,468,728.90","1,468,728.90","1,468,728.90","1,468,728.90","1,176,529.06","1,204,166.18","1,112,965.47","1,034,218.24","1,049,293.37","1,189,849.69","824,802.23","790,678.94","1,006,986.79","774,248.13","1,006,986.79","1,006,986.79","1,427,791.20","1,427,791.20","1,427,791.20","1,427,791.20","1,476,935.06","1,476,935.06"
流动资产合计,"56,620,142.84","128,763,609.40","217,188,579.16","824,843,853.05","817,504,186.15","843,217,586.43","889,412,109.51","894,414,310.06","831,043,030.97","885,292,950.82","892,969,653.31","926,909,478.15","899,402,851.59","944,010,201.02","993,908,741.48","1,005,964,870.72","1,008,076,355.56","1,046,227,601.74","740,633,752.25","714,292,708.61","739,893,405.57","579,355,505.95","644,010,032.59","676,618,099.72","623,017,726.04","718,153,932.80","779,345,291.09","1,580,027,963.43"
流动负债合计,"18,337,966.66","42,788,271.49","46,912,914.59","42,704,682.52","56,111,681.24","65,263,869.36","84,837,488.13","144,271,301.73","69,578,244.52","89,809,557.93","66,249,366.61","146,058,816.21","79,923,717.80","66,464,253.35","69,267,736.80","75,971,832.04","102,690,629.98","94,744,531.11","74,124,619.59","94,364,939.56","98,921,779.48","122,676,859.07","185,444,656.50","169,535,491.51","206,486,727.32","198,475,897.14","248,968,501.88","310,187,740.90"
可供出售金融资产,,,,,,,,,,,,,,"1,200,000.00","1,200,000.00","2,700,000.00","2,700,000.00","2,700,000.00","2,700,000.00","2,700,000.00","2,700,000.00","2,700,000.00","1,200,000.00","1,200,000.00","1,200,000.00","1,200,000.00","1,200,000.00","6,200,000.00"
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
