科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"184,338,070.49","295,179,949.24","304,398,840.29","49,250,105.25","177,610,177.85","266,430,480.28","430,175,339.62","81,244,376.63","205,714,706.44","409,472,534.65","600,577,390.19","179,467,591.78","382,211,564.03","611,124,649.00","808,569,983.92","226,368,166.99","460,835,467.02","705,188,625.15","1,200,829,195.36","269,643,819.14","991,673,852.98","1,898,394,662.86","3,009,914,536.95","681,175,598.13","2,213,935,727.53","3,832,467,647.87","5,698,115,187.70","1,735,322,968.22","5,806,609,122.09","10,293,366,646.17","17,531,101,493.22","5,521,807,367.85","12,085,476,851.27","17,136,206,357.26","22,477,733,021.74","4,396,505,559.57","10,234,357,794.85"
二、营业利润,"13,052,077.70","33,360,099.27","57,450,727.89","-7,752,092.66","23,629,167.45","45,697,234.24","67,258,477.79","1,407,522.04","35,175,840.69","69,259,390.33","112,549,896.86","7,322,432.58","62,672,147.27","121,167,441.38","169,101,686.85","16,854,142.77","83,414,703.25","144,324,983.59","240,490,441.76","40,955,466.34","225,203,953.66","348,684,884.34","487,748,176.47","117,506,367.41","465,491,630.93","684,210,805.30","956,484,721.78","225,491,814.70","930,660,752.87","1,418,010,604.30","1,886,700,622.69","527,829,182.90","1,455,196,693.52","2,202,039,179.65","2,829,801,912.55","727,234,196.43","1,468,228,526.72"
减:营业成本,"118,499,063.54","188,920,219.61","153,748,964.15","31,427,782.40","102,077,919.61","147,449,565.81","251,604,041.18","53,731,304.91","113,939,336.94","248,199,700.68","347,242,187.92","115,502,719.18","213,002,272.75","324,430,526.07","431,069,112.30","138,985,060.47","253,503,184.07","379,963,001.82","676,310,973.05","142,351,906.73","595,952,779.45","1,242,229,156.24","2,064,222,078.48","417,040,096.47","1,389,252,556.57","2,533,604,216.67","3,844,435,172.18","1,278,102,353.32","4,372,223,689.06","8,011,506,657.18","14,422,350,464.71","4,659,448,506.22","9,901,339,365.30","13,926,010,977.93","18,330,185,081.21","3,266,181,183.50","7,854,995,728.70"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,663,731.95","1,587,380.31","3,208,870.25","334,607.05","1,632,132.42","2,198,739.48","3,297,662.47","574,446.60","1,513,135.79","2,376,616.18","4,936,981.74","1,979,453.17","4,640,276.16","8,586,708.76","8,256,977.13","2,342,374.40","5,677,239.73","6,709,828.48","10,237,544.83","2,679,563.28","3,207,718.93","8,086,002.05","21,385,822.62","6,230,948.47","26,445,464.76","48,942,937.62","59,115,504.78","10,495,352.04","38,267,584.85","69,602,530.41","98,063,113.42","19,331,204.18","36,455,313.86","52,354,818.47","45,191,289.21","21,152,782.06","59,208,400.76"
营业外收入,"1,992,815.35","4,593,775.36","4,745,433.91","2,844,000.12","3,338,453.15","4,534,612.75","7,602,833.97","205,821.41","469,736.05","862,506.96","1,210,789.57","766,521.41","1,062,748.84","3,197,596.03","55,328,979.36","531,166.41","775,465.58","1,166,436.99","4,507,932.43","207,267.91","1,271,050.37","2,782,327.16","4,492,684.57","692,235.24","1,406,300.88","3,221,030.30","6,765,013.83","5,909,282.93","7,739,852.93","10,875,333.02","23,519,948.86","3,365,935.30","13,565,013.27","177,340,328.20","166,337,545.73","2,973,379.72","15,759,170.38"
销售费用,"16,848,943.61","22,266,766.29","34,768,641.37","6,662,982.93","13,347,417.46","20,943,778.38","34,304,502.12","8,693,360.37","18,420,462.11","28,627,595.39","46,032,085.36","16,311,112.99","30,110,841.54","44,449,058.86","63,472,839.19","17,542,544.47","33,881,572.46","48,111,808.47","70,355,450.86","17,003,525.05","30,980,402.38","47,669,537.72","89,923,358.29","26,270,982.22","44,130,602.01","70,420,829.15","96,349,140.24","24,191,787.02","44,102,148.88","64,260,437.82","89,877,859.15","32,789,241.70","80,783,493.15","136,441,458.97","127,658,997.59","40,949,607.62","75,215,150.62"
减:营业外支出,"16,891.70","1,961,536.37","110,661.11","5,552.25","5,552.25","6,554.86","21,723.61","5,000.00",,,"173,314.02",8.28,8.28,"200,008.28","6,196,451.24",,"10,000.00","15,076.05","1,189,896.48",192.31,"128,656.71","128,656.71","283,556.44",560.00,"44,895.11","44,895.11","44,895.11",,,,,,,"1,300,000.00","1,948,155.39","40,845.65","122,614.90"
管理费用,"22,635,129.26","30,152,077.06","39,806,196.31","14,322,228.73","24,772,721.26","33,833,049.73","51,582,042.58","12,817,970.06","25,647,500.06","38,845,941.36","56,279,851.25","19,942,535.43","38,852,646.28","59,215,781.05","76,377,329.25","27,132,910.56","47,615,140.87","67,103,892.56","100,874,242.96","38,530,585.85","70,830,528.79","108,678,707.22","155,094,478.18","53,192,025.20","104,247,281.06","176,423,135.00","264,372,801.65","69,083,063.87","139,974,481.54","212,312,336.85","305,164,329.25","88,943,002.10","185,975,032.30","307,797,569.55","530,754,795.76","204,507,137.01","389,677,184.54"
其中:非流动资产处置净损失,"6,891.70","1,753,336.37","105,661.11",,,"1,554.86","1,723.61",,,,"173,314.02",,8.28,8.28,"385,663.04",,,"5,076.05","908,842.65",192.31,"128,656.71","128,656.71","128,656.71",560.00,"44,895.11","44,895.11","44,895.11",,,,,,,,,,
