科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"277,684,853.87","573,098,084.38","943,437,442.70","1,352,433,749.29","240,835,956.54","577,556,769.10","961,542,581.26","1,250,505,453.97","332,048,061.67","677,764,744.37","1,100,372,812.00","1,440,581,637.08","405,879,823.92","823,496,332.33","1,294,347,749.22","1,686,563,832.25","439,294,310.51","891,250,783.18","1,378,966,754.72","1,855,710,757.32","516,722,146.64","1,044,184,673.66","1,596,401,532.91","2,095,928,842.24","524,880,864.70","1,032,110,941.25","2,195,880,691.55","560,298,379.72","1,079,107,974.74","1,694,863,005.67","2,269,794,674.81","580,153,704.61","1,136,334,185.80","1,702,991,159.44","2,300,471,516.34","578,008,497.89","1,177,592,388.38","1,918,853,464.80","2,415,419,996.86","585,498,989.55","1,169,505,153.09","1,822,251,312.37","2,522,166,044.05","691,962,164.72","1,336,756,711.09"
二、营业利润,"27,444,694.48","70,702,526.42","110,963,612.43","135,399,047.09","-24,114,988.07","27,885,309.56","79,333,467.00","-44,175,949.75","30,864,567.37","72,907,800.21","107,305,375.10","122,871,143.16","31,144,742.77","96,598,030.24","144,957,203.02","192,778,520.79","32,286,228.34","91,367,337.96","143,751,371.59","183,571,730.43","41,860,903.49","111,261,634.99","159,826,713.95","203,598,715.86","39,322,115.33","101,313,033.73","218,386,550.29","40,315,407.93","86,100,688.92","153,615,949.60","287,239,401.15","41,113,546.21","117,712,293.15","170,432,583.24","205,119,868.21","30,946,898.90","110,372,261.92","177,819,836.86","207,766,434.15","40,295,273.45","103,731,170.61","161,125,378.18","163,892,778.80","39,125,754.02","100,081,072.53"
减:营业成本,"218,323,600.85","430,899,055.86","721,370,104.68","1,037,579,330.05","225,880,754.72","451,766,145.27","716,988,718.49","965,472,211.91","234,846,086.17","522,628,164.68","870,439,251.94","1,156,829,536.25","301,727,539.46","641,075,705.08","1,008,653,526.89","1,306,498,002.82","318,298,792.28","699,139,536.74","1,083,518,333.29","1,460,180,014.49","378,842,171.25","818,992,257.55","1,277,626,456.46","1,661,234,846.95","393,660,073.44","814,808,667.22","1,714,125,094.10","460,516,228.04","860,009,236.15","1,350,244,320.10","1,827,744,448.33","486,734,040.95","921,538,968.76","1,386,107,799.65","1,908,804,337.54","495,746,891.77","966,378,188.87","1,594,050,895.44","2,006,626,370.33","494,684,478.44","964,681,304.94","1,510,177,162.80","2,130,108,389.88","600,672,641.34","1,135,245,013.65"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"914,133.85","1,862,908.93","3,271,932.57","4,623,969.84","604,453.59","2,109,009.16","3,589,559.73","4,892,736.22","1,061,645.35","3,684,814.13","5,715,030.02","6,350,086.48","1,040,388.30","4,124,975.57","8,210,242.47","8,435,367.15","1,496,511.09","3,332,390.53","6,731,515.47","9,596,287.88","2,481,104.44","6,435,106.63","9,913,239.92","13,587,899.40","2,462,197.34","5,960,256.72","14,021,033.40","2,846,421.51","7,959,444.65","12,185,248.86","18,218,247.33","1,687,002.24","5,941,767.38","9,462,214.94","14,766,572.81","4,327,908.23","11,079,411.82","14,928,470.90","25,019,997.87","7,800,068.28","11,117,220.98","18,569,230.72","24,818,592.02","6,071,095.77","12,131,469.17"
营业外收入,"111,749.05","1,018,449.05","955,860.23","1,297,187.52","45,467,251.56","69,791,957.08","70,351,189.69","93,817,937.37","71,164.00","514,127.05","646,058.17","14,550,779.58","2,593,413.62","4,238,536.43","4,581,456.60","7,441,760.83","1,050,108.79","2,234,178.48","3,276,149.00","10,566,856.76","1,707,319.01","4,901,326.97","6,661,374.13","14,302,600.15","544,663.00","1,437,289.35","10,126,409.48","904,628.03","1,809,377.60","3,877,142.56","10,233,484.13","1,543,346.23","3,359,634.82","5,787,641.18","16,257,300.67","2,473,009.97","4,552,705.86","8,301,749.05","21,970,672.24","2,954,586.76","9,613,767.48","13,100,274.64","4,710,279.89","224,489.77","1,091,260.52"
销售费用,"1,000.00","1,000.00","1,000.00",,,,,,"22,157,229.81",,,,"27,621,623.62",,,"3,065,795.97","37,694,838.11",,"3,245,170.82","6,057,012.84","41,808,923.57","3,389,125.51","4,719,147.30","7,237,284.47","38,655,516.33","3,140,073.00","5,953,251.88","2,212,331.47","3,616,694.24","5,227,733.83","6,962,952.88","1,923,532.16","3,390,285.95","5,082,992.80","6,884,450.61","2,074,339.58","3,782,459.28","5,603,250.92","6,672,663.40","2,378,111.07","3,472,983.45","4,979,061.55","6,340,601.59","1,891,865.83","3,257,041.46"
减:营业外支出,"629,701.70","596,603.58","2,441,975.39","5,114,158.48","164,563,583.76","165,559,815.61","167,176,934.07","165,958,371.57","710,023.65","1,460,040.56","2,952,344.28","7,118,027.97","1,365,871.84","4,624,513.49","9,681,207.57","10,986,762.40","1,058,210.51","973,484.38","2,238,062.40","3,969,766.45","330,118.05","2,330,154.50","3,785,794.04","4,612,438.20","343,641.61","1,083,874.78","4,838,450.29","83,166.16","506,191.31","1,594,608.39","29,817,693.31","324,791.08","1,050,709.90","2,468,823.71","10,571,622.22","1,527,456.01","4,408,956.88","8,241,841.23","11,570,387.27","1,091,394.01","5,779,330.95","6,301,108.29","8,406,277.41","1,678,530.25","2,941,285.87"
管理费用,"19,948,540.71","45,986,364.94","67,938,000.44","109,687,339.03","27,014,097.64","57,541,764.45","87,147,776.53","128,148,012.19","28,629,775.27","51,733,449.78","79,844,114.18","114,258,164.13","32,576,597.42","60,163,406.35","97,099,229.07","137,183,025.08","35,551,048.92","69,812,295.08","102,219,092.36","145,083,653.46","38,396,276.97","78,285,251.26","108,713,282.55","165,378,777.17","36,975,030.68","78,414,062.89","165,810,590.48","37,970,161.30","75,890,472.48","112,258,394.50","159,053,529.11","37,629,850.17","75,691,651.90","113,428,371.07","163,469,568.50","40,361,805.17","80,070,302.83","117,920,600.71","153,160,496.53","35,554,998.40","69,343,697.58","105,920,234.81","147,206,594.28","36,850,540.85","71,272,172.11"
其中:非流动资产处置净损失,,,,,,,,"445,734.69","445,734.69","17,688.68","17,688.68","11,976.18",,,,"173,780.06",,,,"1,118,503.63",,,,"53,144.59",,"78,699.33","1,129,789.07",,,,"2,838,008.39",,,,"3,216,027.08",,"490,861.50",,"943,795.76",,"1,638,108.72",,,,
