科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"72,960,610.49","57,597,532.02","228,798,737.55","976,992,932.84","1,006,288,010.13","1,124,637,044.88","1,115,992,973.25","918,819,632.61","938,300,547.78","1,033,612,186.23","1,056,602,803.09","828,325,394.08","901,166,421.36","1,028,556,112.47","996,812,103.14","717,985,802.86","783,032,151.80","863,938,117.67","640,555,029.78","479,347,072.41","579,504,008.27","357,746,984.47","405,530,296.22","365,324,334.54","359,484,691.66","233,663,812.16","152,747,019.19","265,636,439.71","211,046,626.86","177,910,842.58","166,727,777.76","241,181,619.05","207,002,203.62","240,744,559.92"
短期借款,"5,650,000.00","30,000,000.00","17,000,000.00","17,000,000.00",,,,,,,,,,,"4,000,000.00","4,000,000.00",,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"4,911,936.09","2,082,989.00","587,600.00","1,611,850.06","931,104.00","800,000.00","2,548,873.71","1,379,140.00","850,000.00","2,214,499.00","5,640,872.00","2,346,480.00","8,279,355.40","6,074,130.27","11,336,972.28","6,367,750.54","9,325,136.44","11,779,217.29","14,240,726.68","14,018,189.04","10,462,897.00","7,886,739.00","16,034,326.79","18,463,136.90","14,097,610.00","8,707,579.88","25,600,851.98","12,469,407.00","41,252,107.53","53,881,462.14","80,451,369.66","67,178,398.02","72,068,156.62","57,661,526.53"
应付票据,"13,686,000.00","10,000,000.00","5,000,000.00","5,100,000.00","5,100,000.00","4,500,000.00","4,500,000.00",,,,,,,,,,,,,"80,730,000.00","135,570,852.56","151,470,852.56","194,185,000.00","188,515,000.00","125,232,500.00","92,871,562.81","185,043,218.66","318,162,055.85","289,535,329.10","198,508,193.02","301,487,100.00","350,471,325.00","290,671,000.00","263,635,095.99"
应收账款,"86,102,994.65","111,839,378.49","120,811,536.04","109,204,011.13","111,785,534.40","119,781,666.98","114,251,612.83","113,077,759.93","147,154,482.95","202,121,532.17","167,257,574.08","143,582,615.96","195,189,210.05","229,264,160.44","196,804,297.42","221,334,823.33","263,343,359.49","294,863,052.70","249,234,178.93","261,028,269.78","311,635,524.21","305,855,423.47","282,061,851.98","312,407,660.54","357,584,619.28","408,038,685.26","439,037,352.60","543,927,365.67","609,122,692.11","684,329,879.81","637,017,531.25","742,084,190.60","789,603,475.93","813,374,283.81"
应付账款,"94,775,055.67","99,612,202.55","190,090,040.76","122,736,427.80","192,489,591.74","218,100,214.84","245,456,116.09","200,351,809.16","271,118,198.98","321,785,704.51","295,567,870.26","214,101,687.62","272,044,677.57","302,350,771.52","320,177,413.28","237,828,142.35","399,633,364.70","361,831,500.20","379,812,241.89","316,277,343.27","528,988,696.78","594,467,962.49","542,895,019.65","392,527,689.57","563,777,604.60","630,512,503.65","637,905,496.28","500,630,776.39","606,361,621.55","633,806,549.65","609,223,114.04","527,641,617.02","658,214,323.12","636,403,536.22"
预付款项,"12,522,934.64","9,385,149.24","36,940,822.31","67,873,657.48","77,812,715.95","80,130,573.07","62,652,729.17","89,513,123.22","106,680,426.85","114,021,547.78","125,484,995.06","178,210,969.95","143,569,392.73","128,247,012.46","212,340,912.32","264,375,850.88","239,113,406.07","230,343,083.35","244,912,394.60","329,181,158.50","264,553,386.14","279,144,155.43","253,806,114.02","282,766,392.27","258,928,994.74","286,706,748.00","236,458,984.92","284,652,363.11","301,731,456.22","303,650,603.22","247,580,524.88","320,033,427.33","278,927,978.93","282,757,969.23"
预收款项,"72,390,813.28","68,423,321.30","367,233,796.98","338,647,323.16","405,345,826.92","503,825,314.16","525,921,651.14","497,420,213.56","542,161,447.28","597,061,279.61","533,608,400.84","436,748,102.48","435,087,507.76","564,212,674.50","566,706,842.02","521,328,953.38","652,318,813.92","799,801,621.27","703,082,638.96","673,571,492.79","812,344,608.56","872,560,047.62","759,697,814.47","675,911,942.66","697,301,266.47","672,447,436.72","582,353,159.35","639,353,309.93","549,884,017.06","530,746,674.86","500,263,970.65","662,732,926.60","621,083,534.41","646,830,455.99"
其他应收款,"14,891,252.23","14,408,247.09","11,240,883.82","12,039,799.43","14,625,229.36","18,351,876.17","18,404,424.02","20,155,959.31","21,523,365.30","21,359,941.07","19,216,320.76","24,022,577.90","26,695,734.85","29,994,524.08","20,007,980.30","27,711,454.33","25,987,987.82","35,047,956.77","27,886,685.80","36,575,489.30","37,733,511.16","34,441,710.13","30,280,875.24","33,883,331.91","36,653,057.46","40,824,196.73","40,639,860.59","47,264,245.28","58,098,635.84","59,719,494.56","49,263,482.11","51,006,001.76","50,094,482.09","52,079,079.53"
