科目,2007-12-31,2008-12-31,2009-06-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"64,549,829.66","88,187,650.07","104,061,477.55","121,272,177.68","518,612,869.31","498,591,350.46","494,373,525.02","501,664,767.47","489,847,300.48","433,786,125.41","387,511,018.04","362,966,500.78","354,156,595.44","312,891,550.14","366,250,090.44","322,590,293.88","303,033,347.64","297,734,110.45","278,744,350.06","379,595,939.10","356,063,582.93","322,427,410.76","314,656,837.79","360,431,816.12","322,021,150.16","311,635,443.07","336,327,453.07","315,028,157.68","410,190,241.60","510,846,890.28","547,641,481.63","528,626,581.12","883,385,449.09","935,449,074.28","963,623,586.12","1,000,117,011.59","705,179,082.61","691,318,892.39","676,527,097.34","952,010,429.51","829,129,521.33"
短期借款,,,,,,,,,,,,,,,"52,000,000.00","63,000,000.00","75,000,000.00","85,000,000.00","90,000,000.00","119,967,002.00","129,272,480.50","104,903,815.20","81,680,199.00","91,191,260.40","80,738,307.70","76,944,020.00","70,682,498.10","69,301,600.00","56,560,560.00","44,467,157.60","38,000,000.00","38,000,000.00","38,000,000.00","36,076,252.10","41,578,421.00",,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,"277,903.52","77,903.52",,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"1,000,000.00",,,,,,,,,,,"2,000,000.00",,"10,616,659.82","8,790,341.24","13,572,700.00","11,638,305.66","17,041,848.46","24,491,333.98","20,544,538.41","11,612,611.41","21,695,860.60","27,714,565.81","18,435,868.80","27,329,496.69","23,428,990.94","30,695,165.21","49,868,452.72","34,830,137.35","21,325,173.85","35,001,502.17","39,522,789.99","32,844,446.96","39,981,855.97","15,782,748.00","13,606,998.00","12,104,750.00","24,878,838.00","32,530,069.00","23,444,786.00"
应付票据,"5,651,400.00","34,674,567.96","50,164,500.00","58,746,800.00","49,496,500.00","51,656,300.00","56,348,350.00","56,668,650.00","48,200,000.00","51,808,000.00","45,800,000.00","32,500,000.00","27,440,950.00","34,567,016.30","65,916,200.00","67,648,772.40","70,514,270.40","43,781,698.00","27,500,000.00","39,250,000.00","41,850,000.00","27,037,000.00","23,537,000.00","20,600,000.00","20,000,000.00","15,500,000.00","24,203,000.00","22,854,289.13","12,354,289.13","6,546,855.00","2,803,626.29","3,567,795.57","3,448,649.30","1,771,597.50",,,,,,,
应收账款,"18,096,260.03","15,931,884.45","33,972,386.09","40,755,106.04","32,306,496.17","37,253,928.60","35,436,614.22","33,422,978.20","32,129,270.30","41,229,144.99","36,268,196.63","23,973,568.69","42,797,833.79","54,593,242.85","81,376,285.17","105,673,309.84","104,852,940.08","113,714,780.13","118,495,090.64","172,398,776.79","212,310,339.10","247,773,131.37","253,343,819.48","264,904,876.88","277,714,389.07","278,062,195.77","332,513,322.42","332,995,602.29","306,963,713.07","394,074,822.69","414,549,659.80","422,399,251.37","423,711,300.57","475,956,062.15","448,236,982.06","372,467,205.68","371,489,778.31","397,645,939.71","391,641,029.53","374,955,245.30","348,336,359.66"
应付账款,"3,007,747.54","1,834,294.36","2,226,527.46","1,860,728.77","4,777,711.19","7,768,604.99","7,246,005.94","2,111,487.48","7,399,503.27","5,299,305.74","4,495,756.35","2,785,817.40","7,706,546.10","10,167,027.80","12,562,460.29","13,653,204.85","18,249,612.67","18,969,641.09","24,502,080.29","42,685,268.60","79,852,968.02","84,756,392.96","69,157,424.42","72,131,179.12","78,544,116.27","76,723,045.98","113,937,634.91","93,714,752.96","102,015,555.92","132,322,241.56","140,990,271.46","161,128,288.47","168,617,001.57","214,866,023.97","170,136,587.02","129,418,829.24","139,749,331.85","110,215,237.35",,"104,417,897.80",
预付款项,"2,850,414.10","18,456,974.80","8,923,445.97","4,337,168.61","11,749,437.94","22,748,553.59","23,775,525.40","24,470,685.09","22,012,467.26","30,888,801.68","37,682,977.38","30,579,235.66","35,625,800.34","35,097,826.56","71,809,078.41","20,885,264.73","28,028,930.26","25,546,990.60","13,656,458.69","19,182,422.46","46,218,506.42","43,448,056.96","46,237,625.01","27,840,842.57","34,973,456.90","38,522,480.41","33,209,869.70","33,117,861.08","29,205,296.25","37,477,016.48","38,979,255.17","18,877,432.65","49,857,025.33","37,241,255.36","31,180,735.42","21,946,277.40","35,186,506.57","30,889,997.25","45,964,070.89","18,926,119.74","22,841,114.33"
预收款项,"1,353,627.85","477,921.92","284,166.29","129,981.15","1,175,565.60","6,051,142.27","4,162,567.21","6,404,510.03","4,853,319.37","8,256,391.06","9,943,705.42","1,432,313.90","6,362,811.35","153,525.70","1,090,479.90","2,227,066.02","4,525,167.35","4,278,680.98","1,896,287.25","5,390,072.38","5,251,168.96","6,480,753.39","5,822,678.65","2,979,053.80","6,063,786.21","4,661,861.23","4,270,096.99","4,871,315.27","5,033,346.60","10,017,670.14","7,236,411.15","11,715,976.97","15,688,076.11","16,661,208.38","10,818,540.72","9,445,117.69","14,089,612.83","8,427,822.78","7,656,542.55","7,089,017.25","9,226,210.86"
