科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"104,621,641.00","190,420,114.91","242,842,593.18","640,933,787.19","355,506,620.88","350,650,600.99","136,499,645.10","201,162,594.86","160,658,872.00","254,007,268.35","397,791,668.28","181,826,398.04"
短期借款,"1,000,000.00",,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,"3,728,326.88","10,833,289.67","40,514,463.04","46,792,712.32","40,723,744.79","83,952,885.54","69,249,080.90","56,098,907.38","55,441,952.70","5,350,792.57","266,779,573.95","267,302,895.24"
应付票据,,,"10,980,036.19","19,498,341.73","35,732,815.11","61,070,016.59","59,709,789.98","61,812,952.35","45,499,287.06",,"91,882,494.33",
应收账款,"39,438,758.39","37,479,142.81","44,509,377.04","48,475,676.49","76,411,525.41","55,817,749.05","86,378,709.13","156,783,167.65","230,350,095.99","342,051,887.24","76,411,916.31","139,390,606.22"
应付账款,"45,153,869.40","84,738,043.95","124,554,972.65","75,314,761.79","111,229,777.95","109,006,696.82","159,618,423.37","91,627,367.30","161,599,542.73",,"181,245,844.99",
预付款项,"9,388,697.96","6,408,143.25","7,996,785.25","16,737,322.47","12,951,423.79","26,789,095.70","10,038,639.99","40,751,297.55","13,762,935.02","17,206,553.63","17,763,247.16","11,569,531.72"
预收款项,"35,332,947.87","47,980,149.60","56,975,588.88","62,515,654.02","79,134,876.54","72,488,776.63","68,689,793.70","50,248,075.40","78,312,171.72","83,327,283.72","75,702,723.15","62,899,754.82"
其他应收款,"4,498,657.19","6,157,792.56","9,879,608.73","12,214,110.57","12,890,314.95","10,430,251.35","10,672,863.48","10,929,568.87","6,311,745.15","8,344,649.24","9,193,583.46","7,502,875.23"
应付职工薪酬,"15,818,658.00","16,024,604.49","16,784,862.32","9,061,297.75","13,762,714.83","17,135,965.45","24,050,580.09","15,823,762.79","24,114,549.23","30,258,541.90","36,624,984.78","22,071,119.13"
应收关联公司款,,,,,,,,,,,,
应交税费,"12,807,801.78","10,750,783.06","10,058,169.94","6,382,084.24","11,671,226.76","14,782,974.99","8,271,703.79","13,246,626.52","17,344,334.51","13,991,456.98","5,996,118.17","9,384,231.47"
应收利息,,,,,,,,,,,,
应付利息,,,,,,,,,,,,
应收股利,,,,,,,,,,,,
应付股利,,,,,,,,,,,,
存货,"31,461,710.26","36,088,158.49","47,604,805.52","56,054,060.54","64,029,032.73","76,559,709.87","97,881,660.61","100,270,083.24","135,276,423.66","161,239,287.87","159,087,993.39","165,513,231.54"
其他应付款,"26,654,358.09","32,165,988.09","34,285,866.36","50,149,917.97","41,178,620.01","16,441,659.82","44,158,261.28","40,798,494.47","52,337,505.19","53,947,632.68","55,175,553.57","65,885,762.50"
其中:消耗性生物资产,,,,,,,,,,,,
