科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"2,694,093,995.21","3,926,433,011.11","3,462,443,531.14","717,666,052.63","1,719,146,186.21","3,044,584,819.55","4,364,874,294.96","1,453,269,457.67","3,351,598,837.02","5,339,093,217.33","7,470,460,730.41","1,869,674,702.61","3,565,672,250.98","5,352,534,431.48","7,148,121,869.71","1,639,656,876.34","3,491,166,998.90","4,992,914,703.54","6,841,220,301.43","1,511,825,160.88","3,107,644,216.94","4,501,016,320.28","6,724,009,158.56","885,789,632.54","1,907,175,534.92","3,641,011,068.75","5,968,935,703.29","801,389,253.37","1,660,238,986.95","2,943,885,359.45","4,491,756,229.48","1,462,565,994.84","2,903,751,999.93","4,235,434,429.54","5,787,914,253.41","1,569,626,002.94","3,439,446,756.03","5,098,209,313.40","6,514,440,227.09","1,413,360,318.07"
取得子公司及其他营业单位支付的现金净额,,,,,,,"399,984,576.67",,,,"11,732,100.89",,"200,000,000.00","200,000,000.00","400,000,000.00",,,,"30,000,000.00",,,,,"1,720,000,000.00",,,"1,719,680,908.48",,,,,,,,,,,,,
收到的税费返还,,,,,,,"1,103,257.91",,,,,,,,,,,,,,"16,461,959.84","52,160,989.86","74,160,989.86","1,500,000.00","12,471,932.67","20,898,938.02","48,960,000.00",,"8,203,815.00","8,203,815.00","8,203,815.00",,,,,,,,,
支付其他与投资活动有关的现金,,,,,"20,000.00","20,000.00","20,000.00","100,000.00","123,429.70","123,429.70","361,629.70",,,,"1,123.81","30,966,107.50","44,966,107.50","44,966,107.50","47,966,107.50",,"500,000.00","2,000,000.00","3,000,000.00",,,,,"2,160.00","504,369.85","505,501.44","500,505,501.44",,"100,000,000.00","100,001,079.78","100,001,079.78","1,080.00","100,002,160.00","100,003,240.00","100,003,240.00","1,080.00"
收到其他与经营活动有关的现金,"79,647,305.37","104,798,665.82","99,657,240.24","22,635,570.51","44,828,362.87","79,670,567.82","117,321,000.40","34,732,689.00","73,168,194.24","91,172,961.08","159,492,489.59","28,177,669.49","59,225,247.35","108,377,100.47","173,394,704.78","33,170,016.90","58,426,579.68","112,442,353.50","150,802,726.35","33,642,526.23","65,840,720.87","112,355,763.38","156,357,904.67","35,743,482.29","84,626,266.62","134,713,599.29","161,760,298.22","66,031,971.55","134,196,258.02","260,015,060.70","442,158,784.73","106,267,696.47","243,252,310.03","286,813,561.22","425,417,266.57","113,808,967.27","224,994,319.29","438,671,436.80","568,725,770.28","126,461,018.76"
投资活动现金流出小计,"212,965,789.82","369,876,181.86","1,036,639,951.93","93,978,798.22","685,877,223.48","1,051,048,959.33","1,386,312,902.93","105,139,098.98","198,455,959.01","562,937,136.62","1,366,717,515.01","547,537,588.59","1,038,993,572.44","1,380,262,736.75","2,130,821,669.35","710,585,136.27","978,429,805.80","1,342,828,457.79","1,892,585,062.30","232,029,696.17","536,359,123.57","1,123,387,051.23","1,373,736,067.81","1,890,659,887.53","2,123,737,761.34","2,306,220,308.22","2,414,634,653.63","621,111,092.32","570,546,718.24","710,222,304.01","785,900,206.97","72,269,519.37","286,055,465.87","411,518,808.81","714,470,592.36","168,089,152.54","390,191,218.69","776,912,703.80","303,707,222.77","162,879,378.75"
经营活动现金流入小计,"2,773,741,300.58","4,031,231,676.93","3,562,100,771.38","740,301,623.14","1,763,974,549.08","3,124,255,387.37","4,483,298,553.27","1,488,002,146.67","3,424,767,031.26","5,430,266,178.41","7,629,953,220.00","1,897,852,372.10","3,624,897,498.33","5,460,911,531.95","7,321,516,574.49","1,672,826,893.24","3,549,593,578.58","5,105,357,057.04","6,992,023,027.78","1,545,467,687.11","3,189,946,897.65","4,665,533,073.52","6,954,528,053.09","923,033,114.83","2,004,273,734.21","3,796,623,606.06","6,179,656,001.51","867,421,224.92","1,802,639,059.97","3,212,104,235.15","4,942,118,829.21","1,568,833,691.31","3,147,004,309.96","4,522,247,990.76","6,213,331,519.98","1,683,434,970.21","3,664,441,075.32","5,536,880,750.20","7,083,165,997.37","1,539,821,336.83"
投资活动产生的现金流量净额,"-212,092,950.69","-368,747,393.15","-1,034,878,612.93","-93,853,131.22","-684,736,356.48","-1,049,433,303.00","-1,377,970,038.41","-104,393,233.98","-196,798,252.41","-557,055,809.92","-1,341,918,074.07","-546,739,043.39","-1,037,211,027.24","-1,377,875,410.15","-2,127,195,323.83","-710,919,514.87","-975,451,209.80","-1,338,916,921.99","-1,887,437,557.30","-231,291,432.37","-532,525,684.37","-1,119,526,204.99","-1,367,605,305.03","-1,890,483,121.18","-2,122,336,306.07","-2,304,440,500.95","-2,411,809,267.23","-620,271,392.32","-556,966,970.16","-687,790,957.31","-276,812,752.78","-70,011,049.93","-283,334,561.43","-408,525,364.37","-711,498,496.92","-166,802,151.54","-278,713,359.31","-659,574,768.74","-180,780,761.01","-155,343,328.75"
购买商品、接受劳务支付的现金,"1,175,776,924.65","1,462,939,865.40","1,002,719,909.59","239,175,416.28","428,444,321.27","682,072,075.78","967,351,653.72","467,423,042.30","1,198,846,383.29","2,160,571,884.51","3,164,548,974.75","554,720,622.33","1,277,936,145.51","1,817,416,915.26","2,694,663,574.82","722,330,412.02","1,382,975,919.98","2,093,924,566.26","3,125,963,907.40","670,971,092.01","1,463,464,113.95","2,199,317,963.53","3,735,020,654.32","517,661,589.65","1,055,193,213.12","2,072,717,715.39","3,845,684,245.37","330,060,774.21","617,773,445.65","1,028,978,224.05","1,596,623,764.10","593,869,873.39","1,143,198,969.57","1,577,746,004.78","1,746,420,689.30","355,658,602.82","640,374,887.17","1,050,260,420.96","1,635,278,046.90","426,027,750.45"
吸收投资收到的现金,"150,351,853.93","19,600,000.00","148,500,000.00","3,670,661,000.00","3,278,000,000.00","3,280,444,000.00","3,705,102,000.00",,,,,,,"39,500,000.00","239,500,000.00",,,,,,,,,,,,,,,,,,,,,,,"254,000,000.00",,
支付给职工以及为职工支付的现金,"762,722,625.27","947,848,925.77","1,079,260,148.76","233,242,347.03","521,327,774.70","873,381,899.67","1,304,886,856.13","280,156,194.24","645,221,610.47","1,023,975,028.54","1,586,288,438.13","353,716,864.47","808,596,190.83","1,313,100,421.89","1,855,148,298.80","385,868,872.16","849,590,887.38","1,310,136,094.20","1,934,778,026.23","396,345,795.29","843,051,622.86","1,288,326,173.43","1,814,075,833.15","356,032,100.67","752,739,812.94","1,143,340,889.94","1,574,598,211.06","306,705,485.46","607,555,798.31","891,603,476.58","1,281,502,595.50","248,784,701.84","536,569,496.49","832,145,207.01","1,195,257,019.64","259,931,025.54","536,148,121.61","874,679,234.36","1,340,087,436.02","303,463,203.12"
取得借款收到的现金,"554,000,000.00","976,000,000.00","922,000,000.00",,"500,000,000.00","500,000,000.00","500,000,000.00","1,440,000,000.00","1,940,000,000.00","2,040,000,000.00","2,040,000,000.00","600,000,000.00","600,000,000.00","1,500,000,000.00","1,600,000,000.00","901,769,343.20","2,094,228,372.80","2,172,987,060.80","2,869,449,321.60","230,000,000.00","900,100,000.00","900,100,000.00","1,683,586,000.00","3,360,000,000.00","4,210,400,000.00","5,060,400,000.00","6,771,954,500.00","2,933,500,000.00","1,440,400,000.00","3,489,850,000.00","4,087,550,000.00","600,000,000.00","1,100,000,000.00","1,110,000,000.00","1,850,100,000.00","400,000,000.00","400,000,000.00","1,260,000,000.00","1,700,000,000.00","100,000,000.00"
支付的各项税费,"404,179,429.27","740,178,785.90","757,129,401.63","188,015,587.09","485,891,463.81","813,523,553.13","1,111,230,559.48","324,159,950.91","778,682,329.99","1,244,799,394.26","1,568,403,306.17","417,606,208.55","943,412,920.25","1,336,212,282.45","1,659,891,855.66","350,797,858.51","726,850,904.94","1,006,123,493.43","1,289,144,554.16","250,066,886.78","482,484,554.25","731,481,362.98","980,059,266.19","185,373,565.22","334,295,875.92","490,432,301.34","676,817,933.48","141,223,555.02","262,809,009.04","421,644,936.42","633,973,383.82","286,240,118.66","562,506,010.22","868,087,419.64","1,139,826,817.17","237,282,588.93","645,460,176.24","1,032,791,325.67","1,325,725,596.72","331,057,500.63"
