科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"206,863,961.48","186,887,533.32","227,429,445.07","277,376,448.70","267,887,116.54","423,600,284.67","292,337,939.32","337,029,732.41","422,275,197.14","539,081,141.17","727,114,259.75","919,808,637.57","1,076,816,734.16","884,787,519.91","937,071,007.67","949,841,020.96","1,123,562,774.36","1,261,801,638.87","1,249,103,047.72","937,316,239.81","1,063,105,994.43","912,826,376.20","832,880,363.86","1,122,403,157.39","803,465,573.07","719,715,062.87","1,041,632,266.51","1,236,600,969.67","751,916,107.50","819,601,550.01","1,009,987,653.74","894,812,635.88","950,065,365.18","747,119,622.23","782,411,273.05","839,870,741.05","1,254,149,216.80","604,179,659.11","426,865,723.80","989,574,759.05","752,310,844.57","2,693,667,245.47","2,553,582,548.77","2,951,302,521.18"
短期借款,"170,706,232.92","123,530,779.00","227,687,602.95","279,956,261.20","293,511,930.73","189,458,295.49","48,500,000.00","93,964,164.79","75,464,164.79","71,452,812.79","94,066,817.79","63,843,986.23","260,299,665.13","231,501,558.91","180,956,157.94","212,271,536.28","675,521,224.07","833,630,543.23","1,073,178,595.10","1,447,018,895.26","1,496,999,476.02","1,458,919,403.68","1,590,002,670.79","1,448,387,424.79","1,586,001,217.13","1,732,248,911.20","2,239,986,195.25","2,088,102,105.44","2,208,631,466.34","2,100,946,128.65","2,064,928,487.42","1,351,357,541.22","1,270,540,677.68","1,278,513,891.59","1,325,606,693.99","926,786,928.09","656,479,234.45","358,499,075.35","253,713,890.00","1,158,666,369.65","1,165,956,558.03","1,591,075,478.10","1,596,457,385.39","1,150,563,347.50"
交易性金融资产,"6,433,212.00","797,840.00","1,034,175.00","876,440.00","671,605.33","96,115.00","57,620.00","28,430.00","19,410.00",,"265,080.00","16,360,255.00","118,939,826.47","124,408,003.54","126,767,952.04","174,917,540.36","147,248,128.47","113,651,921.98","114,951,621.47","150,103,924.41","110,732,008.59","119,930,625.09","125,698,284.39","72,363,062.04","183,456,944.09","198,015,225.37","225,441,040.27","44,788,251.42","28,467,151.59","15,429,101.77","8,018,656.43","5,479,522.09","5,725,638.76","6,746,974.45","5,995,747.46","8,504,645.30","8,785,277.57","5,186,396.27","5,284,394.31","45,706,011.36","352,793,883.57","786,286,394.01","1,293,920,549.68","886,343,861.49"
交易性金融负债,,,,,,,,"377,419.50","241,661.00",,,"3,875,587.05","3,860,111.65","3,924,533.80","2,224,047.80","960,255.21","126,068.21","126,068.21","246,155.21",,,"3,252,000.00","3,409,520.00","96,650.00",,,,"2,250,051.70",,"22,467,084.76","16,714,543.63","49,009,585.71","40,423,398.31","39,497,364.39","25,321,394.32","77,378,126.93","27,741,876.71","6,224,118.16","1,308,862.00","2,403,230.00","462,080.00","384,700.00","186,660.00","1,187,541,508.60"
应收票据,"10,359,528.32","29,063,829.98","22,856,290.05","26,895,000.00","11,530,000.00","12,210,000.00","24,677,410.54","6,544,500.00","3,220,000.00","1,390,000.00","200,000.00","875,000.00","5,761,512.64","9,020,645.86","27,799,868.56","50,825,403.70","49,851,332.65","27,110,902.07","23,041,281.53","42,603,641.22","65,028,368.86","44,127,380.00","55,157,148.00","27,550,000.00","9,316,780.00","38,610,974.59","121,169,563.39","117,672,068.05","21,778,596.08","18,386,396.08","24,524,759.50","54,823,294.47","35,011,445.98","32,829,357.35","25,921,594.82","43,896,301.93","23,064,932.33","16,997,200.07","2,348,815.79","46,177,217.95","74,186,840.43","14,843,491.08","11,855,282.92","17,596,852.70"
应付票据,"17,092,700.00","17,280,200.00","17,434,768.38",,,"1,000,000.00","1,296,000.00","20,300,000.00","20,744,650.50","13,000,000.00","14,260,000.00","3,890,000.00","700,000.00",,"80,291.70","40,000,000.00","40,089,398.88","40,000,000.00","40,513,412.50",,"10,000,000.00","45,000,000.00","35,000,000.00","384,038,850.16","501,767,657.16","517,388,499.68","458,076,528.37","73,075,621.83","251,207,883.41","245,631,058.43","268,594,924.80","255,068,539.64","114,827,400.34","70,882,400.00","102,172,400.00","59,256,000.00","103,392,806.20","83,526,806.20","48,940,307.00","108,538,307.00","90,148,000.00","35,731,000.00","26,731,000.00","27,510,000.00"
应收账款,"185,119,811.63","241,408,296.51","217,717,952.40","226,262,305.83","179,656,435.13","233,754,283.32","244,511,760.86","251,323,280.49","131,461,860.41","193,984,516.93","192,565,666.08","213,725,670.36","229,819,728.36","303,227,663.70","285,388,057.50","302,615,612.79","212,009,709.10","299,137,355.46","342,685,179.62","387,618,884.27","278,123,695.80","367,147,310.82","382,568,376.98","551,578,319.30","327,654,166.90","698,363,155.95","618,999,390.40","624,125,593.02","565,231,190.87","655,404,249.05","796,853,519.15","780,298,444.87","587,431,627.60","724,610,949.10","725,261,942.02","803,860,155.53","572,859,130.90","355,557,643.92","318,248,461.84","390,455,626.10","244,317,277.17","258,877,392.15","292,359,396.13","309,385,341.65"
应付账款,"264,502,884.36","314,104,710.77","309,645,402.25","384,247,879.23","273,596,188.67","284,353,023.61","334,326,517.30","331,059,482.64","191,820,006.13","217,702,713.75","212,825,153.98","450,844,080.35","235,104,379.89","361,601,338.62","359,530,892.20","680,751,509.70","339,913,496.90","483,550,170.75","351,031,615.81","749,352,472.19","358,214,375.60","440,131,153.31","400,123,370.29","866,349,836.27","653,323,537.43","615,528,532.88","598,249,132.91","973,467,307.52","537,263,659.86","685,686,351.01","656,022,963.59","1,142,236,991.13","588,450,575.32","831,344,868.05","865,745,397.33","1,060,252,587.35","673,203,491.33","281,116,079.36","169,424,985.33","346,630,937.24","169,532,110.79","204,581,959.48","116,892,799.29","341,724,131.10"
预付款项,"80,924,351.60","73,627,260.49","77,223,981.24","34,400,062.30","59,563,316.43","19,736,061.42","22,580,201.46","13,560,046.10","19,442,531.12","22,315,825.66","25,665,396.46","130,742,566.46","161,425,017.83","65,188,323.38","51,936,019.39","226,116,182.85","87,132,608.07","137,583,122.47","70,304,193.48","715,878,420.33","647,262,293.61","543,943,525.88","1,015,115,728.30","221,769,426.55","533,663,714.25","660,784,446.90","867,342,778.90","456,232,988.14","917,001,266.39","1,121,868,217.42","807,427,280.11","174,997,119.12","338,773,438.32","290,446,987.23","284,070,085.68","145,433,703.50","171,149,342.43","104,940,364.75","117,359,465.57","83,883,774.71","52,056,176.56","92,314,163.71","100,255,167.32","128,941,427.71"
预收款项,"410,696,050.42","415,007,683.54","417,387,867.02","239,993,268.18","321,338,360.57","418,618,290.93","435,695,972.60","364,093,446.68","390,553,427.38","668,327,880.33","1,141,506,681.10","1,517,509,182.21","1,856,137,562.66","2,150,395,231.00","2,319,043,843.17","2,333,854,964.51","2,513,268,287.31","1,978,716,835.98","1,028,592,392.45","774,145,059.76","664,703,178.35","575,496,065.09","651,100,337.10","439,040,673.84","420,137,423.10","379,949,132.03","482,984,917.32","261,943,846.22","422,891,479.10","503,506,442.26","535,830,975.97","265,452,293.57","586,113,462.31","511,997,264.34","529,781,994.01","314,109,077.55","396,221,258.27","206,532,402.05","246,231,688.93","238,352,376.30","429,941,256.78","639,611,588.16","839,693,859.77","855,792,953.25"
其他应收款,"360,089,233.61","211,325,765.15","314,431,012.41","300,065,240.41","277,440,765.47","178,139,242.07","170,545,491.68","247,066,053.33","200,104,054.12","188,460,419.26","192,803,673.22","232,075,235.25","204,101,888.49","504,798,062.47","489,406,862.94","488,996,497.62","449,719,703.01","432,112,432.57","454,902,140.27","486,887,967.02","441,687,466.10","449,939,405.46","558,118,932.55","535,682,497.05","503,032,442.75","640,531,179.13","686,166,322.15","747,335,986.38","722,914,273.51","747,028,539.61","873,781,794.15","1,047,867,682.80","918,824,864.73","796,759,025.43","773,501,756.12","769,506,835.43","655,018,814.50","402,428,534.36","269,878,373.43","272,695,411.13","555,521,381.10","383,729,003.43","845,569,117.68","361,712,258.56"
应付职工薪酬,"127,304,464.94","148,832,798.03","147,171,359.50","135,205,087.19","111,212,569.32","107,772,198.02","110,587,387.37","91,930,834.32","86,762,596.93","117,832,722.72","126,868,337.23","149,322,154.99","134,335,081.15","178,410,374.57","206,564,781.05","174,049,131.04","160,665,541.62","217,589,817.56","256,651,886.29","309,229,536.61","276,208,654.50","351,783,988.17","329,935,661.94","298,798,098.37","262,972,070.57","259,865,192.86","282,900,130.76","303,397,990.94","221,686,606.96","262,698,527.59","273,787,104.40","272,642,027.31","217,156,951.63","283,410,019.18","289,687,906.85","239,023,133.90","196,275,619.49","97,700,649.00","98,294,912.61","149,805,441.85","124,089,602.93","183,973,265.86","277,460,743.66","295,434,617.92"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"1,271,121.85","-2,653,605.30","-11,017,961.03","30,926,674.69","10,141,269.61","-18,674,540.04","-20,368,897.28","6,138,989.25","-11,552,536.92","-27,218,726.64","-63,718,167.00","5,952,121.40","-73,115,029.48","-118,718,418.88","-137,563,703.48","-114,485,701.82","-146,452,664.34","-97,621,692.29","21,730,970.74","151,806,062.90","127,420,042.65","127,004,054.35","105,206,885.78","226,278,234.74","168,665,277.01","193,842,512.51","162,789,036.30","293,992,465.94","241,187,838.36","190,958,479.93","210,865,259.74","289,273,774.00","226,031,677.45","246,699,007.72","245,432,244.95","457,764,500.73","329,344,844.34","254,089,546.35","205,960,693.59","295,372,707.73","297,748,899.06","295,395,969.34","305,619,707.35","254,385,901.38"
应收利息,,,,"3,774,950.00","10,078,823.20","449,661.25","12,697,737.89","183,333.33","13,719,996.56",,,,"142,397.26",,,,"1,136,477.61","2,305,277.36","1,432,558.91","5,106,833.22","233,206.36","616,297.21","649,348.73","1,880,208.02","1,006,579.54","266,770.78","359,385.54","289,149.59","437,932.63","450,796.46","191,249.44",,"235,130.07",,,,"185,051.87","166,452.40","429,065.91",,,"6,336,989.27","24,216,738.73","11,253,520.31"
应付利息,,,,"1,164,882.68","1,973,332.16","1,340,047.86","4,107,635.03","1,880,624.05","4,066,033.48","1,146,020.36","884,118.63","885,134.88","1,332,420.41","1,214,943.81","1,263,311.73","305,130.71","675,425.61","6,709,602.08","1,918,156.94","9,486,839.75","18,437,519.91","28,161,514.54","6,209,593.25","10,197,148.15","18,380,157.89","26,618,089.55","40,867,575.85","46,552,141.39","58,622,659.76","63,273,994.00","76,419,837.05","73,395,578.95","81,621,423.62","14,553,332.44","17,598,546.06","17,321,370.69","14,916,516.99","5,116,063.31","9,078,393.00","2,722,650.97","4,812,016.22","7,246,388.41","15,402,553.31","3,319,662.22"
应收股利,,,,,,,,,,,,"15,640,000.00","15,640,000.00",,,,,,,,,,,"4,907,608.65",,,,,"1,368,000.00",,,,,,,,,"69,643,125.84","69,643,125.84",,,"111,150,000.00","111,150,000.00",
应付股利,"16,995,000.00","300,000.00","300,000.00",,"5,975,126.51","14,420,909.02","392,120.45",,"46,763,045.64",,"2,087,009.32","4,921,633.86","4,921,633.86","2,255,300.85","2,255,300.85","4,886,165.88","4,886,165.88","161,198.68","161,198.68","4,219,762.93","4,219,762.93","196,103.16","251,543.16","7,369,214.96","7,369,214.96","4,410,000.00","4,410,000.00","7,734,250.87","7,734,250.87","4,136,331.45","4,136,331.45","8,434,507.69","10,153,557.32","3,777,533.64","3,287,533.64","6,486,397.99","6,486,397.99","1,470,000.00",,"536,690.00","536,690.00","536,690.00","174,420.00","174,420.00"
存货,"1,395,992,049.03","1,463,920,103.90","1,448,023,018.02","1,429,320,196.84","1,454,160,729.68","1,593,139,884.79","1,749,437,989.82","1,758,467,798.25","1,719,190,493.74","1,858,891,478.91","1,914,902,224.47","1,859,764,872.39","1,743,304,354.95","1,816,556,045.27","1,906,226,590.02","2,094,271,333.62","2,477,779,791.00","2,568,495,398.30","2,032,663,232.14","2,334,623,511.16","2,028,760,635.07","2,259,654,818.51","2,307,602,036.92","2,704,809,315.53","2,794,880,910.84","2,688,540,327.34","2,771,763,321.81","2,849,379,335.78","2,879,819,831.02","2,944,995,135.02","2,972,295,322.89","3,094,298,280.10","3,028,609,514.47","3,083,484,818.68","2,962,653,282.31","2,621,063,174.78","2,545,845,301.04","2,009,448,661.11","1,914,700,227.41","2,240,747,827.34","2,505,932,442.59","2,654,147,595.45","1,140,252,209.34","1,280,972,470.46"
