科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"219,308,890.49","248,848,828.68","241,896,587.73","217,996,189.73","223,183,900.00","246,888,817.06","1,237,146,519.25","848,959,095.77","864,360,638.94","806,831,572.60","534,688,123.33","354,490,720.78","421,466,608.37","433,584,552.37","439,753,675.37","414,357,857.48","480,086,345.35","520,765,071.00","613,645,016.17","687,514,743.36","671,601,199.64"
短期借款,"10,000,000.00","38,608,770.81",,"74,144,400.00","33,814,000.00","18,290,700.00",,,"18,457,500.00","18,357,000.00","18,426,600.00",,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,"100,000.00",,,"193,600.00",,,,,,,,,,,,
应付票据,,,,,,,,,,"4,800,000.00","4,800,000.00",,,,,,,,,,
应收账款,"19,834,959.70","26,359,757.97","41,363,427.13","40,261,415.26","57,635,700.00","53,071,821.92","57,281,431.48","71,648,933.58","66,664,595.40","93,097,014.02","73,158,497.22","85,681,724.44","79,765,265.68","51,905,550.03","60,525,338.21","57,601,943.02","65,333,122.22","110,198,626.34","63,804,330.57","108,769,949.42","95,387,080.14"
应付账款,"27,153,331.29","34,441,851.87","39,494,414.37","65,526,376.52","106,806,600.00","161,946,122.29","162,968,619.43","173,111,078.52","209,731,759.59","239,197,953.48","193,092,333.94","159,208,506.90","148,597,880.97","230,138,600.00","203,208,397.70","156,625,976.16","122,927,407.12","151,069,392.26","138,964,671.25","139,472,747.58","133,112,614.90"
预付款项,"19,137,383.16","11,340,057.90","21,102,377.32","35,217,350.58","40,207,300.00","22,203,095.87","30,315,791.97","52,380,909.87","11,754,177.17","7,313,431.06","6,157,646.85","8,769,176.81","8,065,129.14","5,717,581.65","5,128,036.85","4,813,509.27","5,492,070.18","3,516,847.66","5,039,795.19","4,534,785.01","6,394,934.08"
预收款项,,,,"6,350.00",,,442.95,"37,031.00","271,986.14","2,477,262.52","2,325,526.49","5,225,708.68","6,859,329.34","425,311.00","1,513,987.10","2,621,467.82","764,115.53","1,268,490.91","3,471,381.96","3,615,116.34","4,497,088.10"
其他应收款,"823,741.94","1,099,325.92","1,580,665.09","2,118,964.94","2,228,700.00","2,491,447.18","4,281,734.81","2,736,138.09","22,870,663.43","1,672,974.49","1,400,655.81","1,012,082.29","997,317.53","791,739.07","838,621.96","687,588.76","743,644.76","857,388.08","531,096.71","461,930.51","489,600.30"
应付职工薪酬,"4,373,323.47","8,084,883.72","9,365,876.83","4,953,359.74","5,048,100.00","12,110,953.10","5,041,286.89","6,026,319.75","5,636,246.25","26,662,249.71","10,827,235.97","16,153,327.07","18,159,473.46","18,407,212.01","6,861,042.93","13,091,378.88","16,922,963.80","23,080,176.12","16,474,668.00","12,688,013.55","9,483,507.92"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,
应交税费,"-1,256,298.28","-4,133,833.95","-1,641,740.82","-3,194,445.16","-2,663,900.00","-1,825,261.14","3,936,689.02","-1,609,418.99","-5,043,408.66","3,593,011.97","2,990,352.08","2,564,945.65","3,702,393.23","3,013,453.45","4,745,172.62","2,387,591.57","2,196,537.46","1,510,346.60","1,869,477.04","7,144,749.57","4,182,970.00"
应收利息,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,"11,561,544.71",,
存货,"16,865,994.15","15,075,255.67","17,039,662.04","25,831,428.41","32,262,800.00","35,824,876.75","33,538,391.20","40,065,809.58","34,970,829.85","56,195,493.58","55,808,961.25","49,136,014.96","39,633,447.57","37,460,384.59","49,146,302.07","45,475,409.79","49,306,688.22","45,280,724.94","67,206,030.42","68,924,402.53","70,911,571.00"
其他应付款,"1,468,024.56","1,797,645.74","1,381,743.32","1,483,042.79","973,700.00","3,569,352.92","309,244,761.84","3,606,736.86","4,345,125.16","73,271,560.93","3,743,201.63","2,508,316.88","3,394,271.32","4,335,449.73","2,440,221.72","4,889,799.29","2,274,378.58","3,723,579.47","3,246,568.19","86,002,740.81","87,533,633.79"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,"156,426.66","1,278,268.52","284,788.96","225,700.00","132,335.23","57,187.18","3,544.24",,"162,800.04","162,800.04","162,800.04","496,300.04","20,000.00","12,500.00","5,000.00",,,,,
一年内到期的非流动负债,"10,000,000.00",,,,,,,,,,,,,,,,,,,,
其他流动资产,"263,593.08","205,742.00","132,410.70","534,566.09","800,200.00","170,756.24","359,624.83","589,497.72","720,915.18","94,488,619.00","73,555,274.37","187,603,915.26","188,521,456.29","218,883,819.90","195,001,084.75","198,357,627.54","117,023,792.24","98,355,494.60","45,895,464.54","44,074,338.01","100,869,741.20"
其他流动负债,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"276,234,562.52","303,085,394.80","324,393,398.53","322,244,703.97","356,544,200.00","360,883,150.25","1,362,980,680.72","1,016,383,928.85","1,001,535,419.97","1,059,761,904.79","744,931,958.87","686,856,434.58","738,945,524.62","748,363,627.61","750,405,559.21","721,298,935.86","717,985,662.97","778,974,152.62","796,121,733.60","914,280,148.84","945,654,126.36"
流动负债合计,"51,738,381.04","78,799,318.19","48,600,293.70","142,919,083.89","143,978,500.00","194,091,867.17","481,191,800.13","181,171,747.14","233,399,208.48","368,359,038.61","236,205,250.11","185,660,805.18","180,713,348.32","256,320,026.19","218,768,822.07","179,616,213.72","145,085,402.49","180,651,985.36","175,588,311.15","248,923,367.85","238,809,814.71"
可供出售金融资产,,,,,,,,,"20,000,000.00","10,440,748.50","10,578,116.95","12,976,753.40","12,122,195.98","13,806,966.32","13,329,211.66","12,909,007.77","12,334,434.97","12,042,009.44","12,042,009.44","13,133,436.21","12,561,662.52"
长期借款,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,
