科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"88,610,419.78","249,258,088.59","569,091,199.93","87,767,923.26","266,620,587.45","398,516,394.58","543,994,360.89","95,085,816.32","247,610,127.63","405,043,059.83","569,259,484.91","192,534,055.96","558,121,383.87","933,447,939.99","1,343,548,630.96","407,316,784.02","871,967,545.99","1,402,579,127.92","1,910,665,141.17","304,581,375.33","786,104,661.54","1,146,424,727.18","1,547,784,033.54","265,991,822.89","681,736,803.65","1,412,917,535.11","2,012,662,292.63","408,677,547.88","943,159,591.75","1,495,318,370.70","2,036,032,841.76","371,173,345.05","851,045,905.10","1,172,149,997.01","1,504,869,617.59","252,161,538.89","607,268,359.44","937,539,870.30","1,279,188,344.05","278,602,684.83","621,823,088.74","1,422,597,202.14","2,183,355,173.37"
二、营业利润,"9,740,622.97","26,215,569.92","56,968,091.18","8,201,795.44","20,520,592.38","23,734,032.27","31,547,204.84","719,490.45","4,512,368.82","12,530,607.15","16,335,487.11","157,902.92","3,053,825.87","13,487,747.18","23,592,252.28","13,024,616.24","31,337,791.80","33,481,773.24","37,005,849.86","39,523.12","5,783,852.53","11,424,841.84","17,622,965.79","811,502.39","6,859,434.37","24,389,913.71","33,211,686.91","8,835,521.50","23,041,402.00","36,792,088.98","50,902,189.69","3,468,497.70","21,032,421.47","37,282,417.95","48,762,513.15","8,608,255.99","42,373,796.83","76,274,121.25","90,852,989.82","9,918,822.57","29,917,350.84","69,581,977.74","119,425,804.47"
减:营业成本,"63,379,190.28","187,327,550.51","425,570,072.89","64,813,218.99","206,515,912.14","317,434,833.12","439,212,205.59","78,556,048.63","195,788,612.15","327,418,013.61","469,053,936.05","174,556,936.24","524,493,404.48","860,329,851.56","1,203,198,231.88","364,023,767.91","766,066,044.78","1,265,365,541.28","1,733,061,940.58","285,070,195.72","725,216,350.26","1,051,484,314.26","1,409,560,371.96","245,553,677.53","622,827,134.08","1,220,723,543.38","1,735,461,184.81","351,268,640.06","802,101,705.84","1,286,269,137.67","1,739,865,742.54","324,862,699.99","733,757,213.67","988,841,275.81","1,231,137,359.34","194,752,347.17","452,008,606.34","690,017,266.33","938,819,036.52","217,157,475.55","483,310,288.68","1,067,066,289.22","1,667,337,740.42"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"226,958.29","825,601.48","2,095,494.48","14,746.42","645,455.98","1,396,375.34","2,397,840.31","211,202.59","1,100,041.53","2,009,303.92","2,829,374.00","211,512.33","629,505.90","2,047,687.23","3,571,908.37","1,123,232.41","1,978,722.36","3,658,466.44","5,066,113.21","1,237,148.92","2,091,497.70","3,110,883.02","4,252,870.89","342,858.42","1,600,537.27","4,445,389.41","5,892,241.96","966,811.82","3,333,556.89","5,732,521.37","7,051,542.98","1,249,191.45","4,098,541.67","6,703,915.48","8,393,022.07","1,775,005.74","4,903,971.84","8,136,815.66","14,537,601.04","2,623,313.89","5,649,029.42","14,603,684.03","20,293,103.54"
营业外收入,10.00,"397,950.00","5,186,022.11","1,200.00","269,865.18","1,841,254.35","2,000,929.15","5,000.00","2,087,344.86","2,724,541.16","6,032,128.99","113,611.74","272,345.89","1,003,417.75","2,719,205.91","16,842.50","485,985.55","1,747,220.13","4,773,082.70","487,878.95","1,331,496.79","1,673,815.37","2,722,649.39","277,458.00","549,978.88","22,092,877.00","43,405,729.54","8,246,484.01","17,536,267.13","25,809,453.07","40,050,970.07","4,292,818.25","6,756,617.14","11,842,583.12","18,707,727.60","2,071,282.40","6,388,087.56","9,500,193.29","12,889,328.46","2,119,017.55","4,285,473.08","14,575,881.84","16,974,811.18"
销售费用,"5,330,762.14","14,945,583.43","33,033,260.55","4,868,061.11","13,866,773.21","22,026,128.03","30,760,037.07","8,014,403.41","19,682,605.35","30,396,064.99","41,991,032.40","10,144,645.14","23,069,434.37","37,209,157.54","57,061,326.26","15,343,410.37","35,980,031.56","49,267,305.24","64,289,549.66","10,138,602.93","28,079,635.93","41,678,766.48","65,175,530.03","10,736,762.98","27,184,449.28","78,756,767.55","112,071,213.89","25,003,317.11","57,536,424.83","84,437,514.91","117,630,510.63","19,295,485.12","44,848,332.96","67,775,256.52","99,159,223.66","22,789,139.76","47,836,463.78","72,466,858.82","98,977,739.07","20,589,738.55","42,796,726.92","84,195,962.44","116,157,127.02"
减:营业外支出,,"713,952.46","801,623.73","12,256.76","139,539.26","221,903.70","977,068.02","14,354.75","14,404.75","27,154.75","48,037.64",57.75,"19,772.37","25,715.31","300,010.81",,"4,753.84","35,386.87","2,755,062.75","12,183.17","12,283.19","18,173.92","225,251.07","50,517.75","326,740.25","464,151.44","1,203,938.67","119,366.11","345,691.18","356,915.91","757,940.69","21,760.05","39,142.37","105,419.77","134,053.62",500.00,"712,661.69","841,007.26","1,476,725.04","17,217.31","225,625.97","4,367,778.88","5,132,754.26"
管理费用,"10,174,997.03","18,884,640.86","48,672,631.44","7,085,459.04","19,005,676.27","26,542,766.53","34,535,513.78","8,513,258.74","27,573,281.66","34,790,872.48","42,005,462.40","7,855,909.82","21,911,368.56","35,549,233.98","53,561,046.82","14,009,690.59","33,394,262.46","45,890,891.54","64,394,922.92","7,611,157.39","23,829,218.32","37,619,538.23","48,683,123.95","7,158,276.37","19,492,845.49","76,394,570.03","111,906,142.94","21,153,660.60","50,680,041.47","75,367,585.69","113,698,388.48","23,035,348.77","47,350,680.32","73,828,515.61","115,593,055.62","24,465,128.37","52,078,811.44","83,120,748.66","131,475,695.54","28,136,507.28","53,223,417.43","170,049,248.60","258,980,533.82"
其中:非流动资产处置净损失,,"562,533.17","544,813.72",,"-248,215.18","-221,838.26","783,933.24",254.75,,"-773,410.26",,,,,,,,,"2,717,683.69",,"12,083.17",,"17,173.38",,"325,452.16","375,435.69","1,105,854.53",,"290,295.87","301,216.02","724,407.94","6,859.56","7,742.96","73,597.64","102,354.21",,"555,761.69","582,607.26","610,910.87","17,217.31","25,625.97","3,889,792.05",
