科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"918,987,486.86","895,938,604.72","884,275,005.06","162,125,700.00","410,637,913.19","653,797,300.00","890,604,850.98","162,064,031.35","437,800,227.89","669,857,114.79","953,713,189.67","231,705,130.95","635,819,455.06","991,895,185.30","1,358,950,370.09","310,843,154.81","818,576,942.35","1,311,590,578.42","1,865,209,867.36","359,323,966.15"
二、营业利润,"142,357,015.62","152,562,657.29","145,429,038.69","16,421,100.00","61,445,799.56","425,085,700.00","125,155,145.09","18,140,980.45","70,864,105.04","110,018,966.20","143,156,114.36","24,027,592.80","97,843,215.52","136,011,840.82","173,806,414.87","18,613,094.02","111,835,314.40","167,176,942.70","175,733,957.72","29,682,534.38"
减:营业成本,"583,465,233.11","533,863,156.32","524,491,378.84",,"264,535,263.28",,"554,394,142.18","98,891,466.36","251,340,496.31","392,594,672.18","555,682,303.30","151,981,263.19","399,490,688.61","625,158,528.17","855,280,595.46","223,761,897.79","555,721,431.19","885,119,727.51","1,234,947,052.92","247,676,385.60"
加:补贴收入,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"7,432,973.95","8,814,239.18","11,628,238.17",,"4,760,898.11",,"9,865,864.07","1,882,525.69","4,910,145.26","6,740,992.22","11,466,192.47","2,244,689.32","7,254,518.28","11,009,809.57","16,458,631.18","3,485,679.51","9,110,992.22","16,197,203.25","24,865,839.55","4,788,377.78"
营业外收入,"3,613,784.74","4,873,901.66","4,753,350.41",,"2,995,837.83",,"7,704,804.87","3,240,559.58","6,662,441.51","8,045,463.32","9,964,870.99","1,918,445.02","5,808,713.96","7,180,333.75","2,190,391.50","731,319.89","1,421,240.78","1,952,744.39","8,440,407.48","358,272.69"
销售费用,"97,123,680.06","99,840,653.23","103,458,554.20",,"40,101,795.25",,"107,058,332.69","18,919,922.44","58,165,342.17","87,792,167.03","137,772,813.96","27,814,149.85","71,778,507.78","114,727,836.94","158,518,588.75","26,480,856.04","69,185,509.22","112,425,743.40","177,386,732.85","31,116,300.80"
减:营业外支出,"1,489,736.34","373,703.73","831,857.67",,"325,832.41",,"545,875.24","327,320.61","1,119,049.20","1,677,880.93","2,124,701.99","469,521.00","1,399,121.49","1,924,028.75","1,666,306.30","103,137.25","701,813.35","2,205,762.40","16,730,288.12","303,738.08"
管理费用,"74,010,688.72","91,865,312.16","86,694,980.75",,"35,297,657.58",,"87,857,361.28","22,369,872.67","51,412,742.88","71,973,130.63","106,810,470.15","30,846,605.27","71,091,482.00","116,785,817.59","170,606,918.32","34,413,201.14","74,378,099.43","96,474,605.60","149,232,136.62","31,143,862.71"
其中:非流动资产处置净损失,"898,077.32","16,458.57","229,233.32",,"129,929.26",,"197,794.57","17,320.61","66,189.34","106,014.39","320,971.75","322,209.01","1,237,983.94","1,343,315.10",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,
财务费用,"17,460,487.57","15,032,869.27","13,530,277.72",,"5,387,286.57",,"10,288,399.29","1,577,293.08","1,845,767.52","2,359,066.25","2,350,467.52","1,037,577.61","4,272,226.52","7,500,207.36","10,420,583.74","7,373,823.00","7,324,264.51","19,436,400.62","26,943,276.21","14,899,021.14"
