科目,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"114,475,262.30","290,556,400.61","389,388,904.40","585,315,201.71","150,729,406.42","367,005,052.38","612,774,638.47","810,351,985.03","163,272,627.58","362,122,616.46","593,683,761.52","761,817,020.91","153,511,858.02","368,895,319.79","599,404,248.66","785,587,263.40","140,789,403.90","297,642,625.63","392,586,596.51","603,431,434.13","147,182,606.31","243,404,140.07","369,436,028.78","561,985,251.88","136,910,250.32","287,760,027.95","466,763,362.88","783,066,189.37","176,478,842.97","443,868,348.89","729,937,959.92","1,002,847,360.66","150,209,424.93","375,581,025.09","641,559,670.26","872,311,457.28","172,086,994.60"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,"17,107,200.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,"14,250,000.00",,,"375,200,000.00","6,000,000.00",,"3,300,000.00","113,263,615.30","91,762,039.50",,"101,837,334.94","53,805,421.00","75,704,027.15",,"7,893,483.65","14,310,475.55","444,824,905.45","158,131,998.90","158,488,410.60","159,570,085.90","358,364,108.90","4,754,224.15","4,754,224.15","6,926,317.45","1,281,843,098.02","50,000,000.00"
收到其他与经营活动有关的现金,"2,190,835.98","7,122,346.25","42,303,201.91","13,408,353.47","34,321,847.54","41,859,207.25","57,161,075.01","37,817,863.97","51,315,150.21","19,419,371.63","34,899,700.43","69,333,276.72","57,050,684.72","499,310,474.27","16,720,978.85","29,077,253.27","30,402,582.56","35,986,695.46","40,436,368.21","11,775,840.96","420,188.92","13,291,428.55","201,407.28","25,527,312.48","2,320,895.92","11,266,528.33","17,701,702.34","12,907,522.58","2,222,410.28","29,172,551.54","29,320,975.61","46,290,817.56","6,667,677.26","10,165,884.62","43,443,626.76","29,371,662.61","4,496,501.12"
投资活动现金流出小计,"2,049,259.00","5,185,106.10","223,027,515.98","152,288,803.75","8,487,906.99","54,728,162.65","38,752,041.57","145,989,695.04","3,426,364.00","142,936,481.54","303,674,047.52","399,070,788.56","866,330.00","107,936,363.33","767,773,502.99","650,211,570.48","104,410,382.18","487,517,173.28","1,441,551,892.10","1,788,158,179.04","120,934,352.05","463,965,099.55","794,534,915.51","1,068,298,867.54","161,199,874.74","246,236,217.18","365,205,573.33","845,710,845.89","180,043,967.10","212,678,429.13","235,729,105.99","414,098,398.17","26,484,780.97","27,650,508.26","68,194,289.70","1,359,695,038.89","55,201,077.65"
经营活动现金流入小计,"116,666,098.28","297,678,746.86","431,692,106.31","615,830,755.18","185,051,253.96","408,864,259.63","669,935,713.48","848,169,849.00","214,587,777.79","381,541,988.09","628,583,461.95","831,150,297.63","210,562,542.74","868,205,794.06","616,125,227.51","814,664,516.67","171,191,986.46","333,629,321.09","433,022,964.72","615,207,275.09","147,602,795.23","256,695,568.62","369,637,436.06","587,512,564.36","139,231,146.24","299,026,556.28","484,465,065.22","795,973,711.95","178,701,253.25","473,040,900.43","759,258,935.53","1,049,138,178.22","156,877,102.19","385,746,909.71","685,003,297.02","901,683,119.89","176,583,495.72"
投资活动产生的现金流量净额,"-176,634.42","-3,279,071.52","-221,001,381.40","-151,598,348.50","-8,487,906.99","-54,605,091.72","-38,626,284.57","-144,800,950.11","-3,030,364.00","-142,540,481.54","-303,278,047.52","-398,619,788.56","-866,330.00","-107,936,363.33","-138,897,919.29","-396,186,604.00","-101,068,957.30","-456,868,870.85","-1,253,087,413.79","-1,709,870,283.84","-120,934,352.05","-417,607,438.17","-778,295,820.01","-1,039,226,288.61","-161,199,874.74","-239,163,796.18","-353,273,152.33","-839,771,705.97","-141,303,300.44","230,416,558.02","207,365,881.16","27,395,704.54","174,796,665.03","173,654,519.42","135,231,414.02","-419,941,957.32","441,060,139.02"
购买商品、接受劳务支付的现金,"25,424,121.22","27,745,318.37","78,404,552.57","245,077,395.56","61,322,713.98","199,161,564.41","366,271,557.03","368,401,037.08","122,451,223.67","37,494,554.97","79,933,411.54","110,919,917.56","36,211,147.34","32,904,637.96","105,802,363.87","128,585,681.75","5,045,382.36","18,609,166.20","52,006,107.24","49,041,636.64","3,559,617.73","30,485,719.93","25,099,487.22","58,214,074.64","2,449,000.40","10,336,499.88","22,485,986.48","43,332,184.43","5,003,919.18","9,389,854.68","19,801,683.73","93,851,578.21","17,234,726.25","25,283,297.68","42,231,195.67","60,773,057.20","20,362,212.45"
吸收投资收到的现金,,,,,,"300,000.00","300,000.00","300,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"446,357,801.76","446,357,801.76","446,724,996.88",
